9; 450_950_0.7_0.1_175;1610,8352;;1548,8015;1744,5957;1645,82404;64,98328355;;;;;;;;;
0; 450_950_0.7_0.1_180;1614,5192;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_180;1525,695;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_180;1649,6686;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_180;1649,8427;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_180;1526,4744;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_180;1574,699;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_180;1680,4849;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_180;1633,7842;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_180;1686,7493;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_180;1651,838;;1525,695;1686,7493;1619,37553;55,5041964;;;;;;;;;
0; 450_950_0.7_0.1_184;1610,2542;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_184;1599,3683;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_184;1513,0901;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_184;1696,1276;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_184;1584,5148;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_184;1575,4078;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_184;1700,8169;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_184;1568,4493;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_184;1585,0908;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_184;1659,0197;;1513,0901;1700,8169;1609,21395;56,35609644;;;;;;;;;
0; 450_950_0.7_0.1_189;1622,5159;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_189;1637,2026;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_189;1654,4895;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_189;1513,3624;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_189;1636,8685;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_189;1560,1135;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_189;1568,5211;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_189;1549,088;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_189;1566,0122;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_189;1646,2007;;1513,3624;1654,4895;1595,43744;46,8837459;;;;;;;;;
0; 450_950_0.7_0.1_193;1666,4744;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_193;1637,291;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_193;1665,0919;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_193;1589,9435;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_193;1605,2565;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_193;1606,6113;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_193;1617,1022;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_193;1544,6228;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_193;1677,469;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_193;1636,6302;;1544,6228;1677,469;1624,64928;38,52967719;;;;;;;;;
0; 450_950_0.7_0.1_198;1528,6365;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_198;1686,5212;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_198;1639,7493;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_198;1537,7136;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_198;1645,4574;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_198;1601,6918;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_198;1628,2576;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_198;1637,3689;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_198;1506,6235;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_198;1631,9828;;1506,6235;1686,5212;1604,40026;56,43658483;;;;;;;;;
0; 450_950_0.7_0.1_202;1589,9398;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_202;1592,7592;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_202;1653,6616;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_202;1545,3071;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_202;1710,3057;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_202;1573,5536;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_202;1545,6477;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_202;1730,5066;;;;;;;;;;;;;;
