0; 100000_1_1000.0_1.0;803,39355;;;;;;;;;;;
1; 100000_1_1000.0_1.0;837,55536;;;;;;;;;;;
2; 100000_1_1000.0_1.0;801,99445;;;;;;;;;;;
3; 100000_1_1000.0_1.0;806,4824;;;;;;;;;;;
4; 100000_1_1000.0_1.0;803,311;;;;;;;;;;;
5; 100000_1_1000.0_1.0;797,87177;;;;;;;;;;;
6; 100000_1_1000.0_1.0;830,9457;;;;;;;;;;;
7; 100000_1_1000.0_1.0;832,478;;;;;;;;;;;
8; 100000_1_1000.0_1.0;821,7372;;Best;Worst;Average;;;;;;;
9; 100000_1_1000.0_1.0;803,4315;;797,87177;837,55536;813,920093;;;;;Best;Worst;Average
0; 100000_2_1000.0_1.0;829,4114;;;;;;;;;797,87177;837,55536;813,920093
1; 100000_2_1000.0_1.0;798,9433;;;;;;;;;798,9433;835,0131;818,92463
2; 100000_2_1000.0_1.0;808,6106;;;;;;;;;803,31104;837,23865;814,29436
3; 100000_2_1000.0_1.0;808,9416;;;;;;;;;797,45123;830,7645;805,019097
4; 100000_2_1000.0_1.0;829,4113;;;;;;;;;797,45123;831,7144;813,621123
5; 100000_2_1000.0_1.0;835,0131;;;;;;;;;797,87177;829,956;808,781836
6; 100000_2_1000.0_1.0;804,0378;;;;;;;;;797,45123;825,24274;805,280343
7; 100000_2_1000.0_1.0;834,8923;;;;;;;;;801,8739;830,9456;809,97218
8; 100000_2_1000.0_1.0;829,4114;;Best;Worst;Average;;;;;801,8739;829,4113;810,423003
9; 100000_2_1000.0_1.0;810,5735;;798,9433;835,0131;818,92463;;;;;797,87177;828,70013;808,706999
0; 100000_3_1000.0_1.0;837,23865;;;;;;;;;797,45123;816,52313;803,053234
1; 100000_3_1000.0_1.0;803,31104;;;;;;;;;801,8739;814,0394;804,338396
2; 100000_3_1000.0_1.0;803,4315;;;;;;;;;797,45123;803,311;800,986027
3; 100000_3_1000.0_1.0;829,4113;;;;;;;;;797,45123;819,3087;805,409617
