7; 100_100_0.7_0.039999995_5;1133,3688;;;;;;;;835,5549;1031,6508;949,370854
8; 100_100_0.7_0.039999995_5;1141,2812;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.039999995_5;1092,0933;;1052,0248;1141,2812;1105,30551;;;;;;
0; 100_100_0.7_0.044999994_5;1115,1758;;;;;;;;;;
1; 100_100_0.7_0.044999994_5;1064,6709;;;;;;;;;;
2; 100_100_0.7_0.044999994_5;1233,2319;;;;;;;;;;
3; 100_100_0.7_0.044999994_5;1020,9787;;;;;;;;;;
4; 100_100_0.7_0.044999994_5;1243,4076;;;;;;;;;;
5; 100_100_0.7_0.044999994_5;1049,1733;;;;;;;;;;
6; 100_100_0.7_0.044999994_5;1050,7665;;;;;;;;;;
7; 100_100_0.7_0.044999994_5;924,0204;;;;;;;;;;
8; 100_100_0.7_0.044999994_5;1153,6772;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.044999994_5;1149,2866;;924,0204;1243,4076;1100,43889;;;;;;
0; 100_100_0.7_0.049999993_5;1054,7998;;;;;;;;;;
1; 100_100_0.7_0.049999993_5;1007,0446;;;;;;;;;;
2; 100_100_0.7_0.049999993_5;996,8482;;;;;;;;;;
3; 100_100_0.7_0.049999993_5;1064,319;;;;;;;;;;
4; 100_100_0.7_0.049999993_5;1027,7754;;;;;;;;;;
5; 100_100_0.7_0.049999993_5;1046,5789;;;;;;;;;;
6; 100_100_0.7_0.049999993_5;1189,4452;;;;;;;;;;
7; 100_100_0.7_0.049999993_5;1143,1857;;;;;;;;;;
8; 100_100_0.7_0.049999993_5;1123,9039;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.049999993_5;1021,17664;;996,8482;1189,4452;1067,507734;;;;;;
0; 100_100_0.7_0.054999992_5;1122,9304;;;;;;;;;;
1; 100_100_0.7_0.054999992_5;1027,619;;;;;;;;;;
2; 100_100_0.7_0.054999992_5;1087,8835;;;;;;;;;;
3; 100_100_0.7_0.054999992_5;1047,1415;;;;;;;;;;
4; 100_100_0.7_0.054999992_5;1026,8094;;;;;;;;;;
5; 100_100_0.7_0.054999992_5;1041,602;;;;;;;;;;
6; 100_100_0.7_0.054999992_5;959,0475;;;;;;;;;;
7; 100_100_0.7_0.054999992_5;1126,9977;;;;;;;;;;
8; 100_100_0.7_0.054999992_5;1105,4824;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.054999992_5;1120,3046;;959,0475;1126,9977;1066,5818;;;;;;
0; 100_100_0.7_0.05999999_5;1044,7576;;;;;;;;;;
1; 100_100_0.7_0.05999999_5;1187,8672;;;;;;;;;;
2; 100_100_0.7_0.05999999_5;1005,3642;;;;;;;;;;
3; 100_100_0.7_0.05999999_5;1004,0888;;;;;;;;;;
4; 100_100_0.7_0.05999999_5;1091,8857;;;;;;;;;;
5; 100_100_0.7_0.05999999_5;927,3212;;;;;;;;;;
6; 100_100_0.7_0.05999999_5;1078,8759;;;;;;;;;;
7; 100_100_0.7_0.05999999_5;1087,8718;;;;;;;;;;
8; 100_100_0.7_0.05999999_5;1032,7333;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.05999999_5;927,5843;;927,3212;1187,8672;1038,835;;;;;;
0; 100_100_0.7_0.06499999_5;1084,4377;;;;;;;;;;
1; 100_100_0.7_0.06499999_5;1051,8867;;;;;;;;;;
2; 100_100_0.7_0.06499999_5;1071,5682;;;;;;;;;;
3; 100_100_0.7_0.06499999_5;1128,4216;;;;;;;;;;
4; 100_100_0.7_0.06499999_5;1102,675;;;;;;;;;;
5; 100_100_0.7_0.06499999_5;1109,7421;;;;;;;;;;
6; 100_100_0.7_0.06499999_5;1108,0605;;;;;;;;;;
7; 100_100_0.7_0.06499999_5;1213,0709;;;;;;;;;;
8; 100_100_0.7_0.06499999_5;1080,0269;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.06499999_5;984,00165;;984,00165;1213,0709;1093,389125;;959,0475;1126,9977;1066,5818;;
0; 100_100_0.7_0.06999999_5;1152,1461;;;;;;927,3212;1187,8672;1038,835;;
1; 100_100_0.7_0.06999999_5;1057,0654;;;;;;984,00165;1213,0709;1093,389125;;
2; 100_100_0.7_0.06999999_5;1086,4486;;;;;;909,8703;1152,1461;1022,244056;;
3; 100_100_0.7_0.06999999_5;1111,3739;;;;;;953,591;1193,7006;1087,293246;;
4; 100_100_0.7_0.06999999_5;930,4324;;;;;;1057,4741;1208,2739;1133,74409;;
5; 100_100_0.7_0.06999999_5;976,58826;;;;;;895,18524;1025,4913;987,471808;;
6; 100_100_0.7_0.06999999_5;999,1752;;;;;;954,9177;1141,4896;1041,811704;;
