0; 1000_10_100;1027,8195;;;;;;;;;;;;;;
3; 1000_15_100;1037,9036;;;;;;;; 1000_55_100;1001,9085;;1001,9085;1079,6705;1042,15734;22,17750929
4; 1000_15_100;1082,0271;;;;;;;; 1000_56_100;1008,13403;;1004,2622;1067,5573;1025,723812;24,77468517
5; 1000_15_100;1017,3251;;;;;;;; 1000_57_100;1003,1141;;997,05334;1041,9346;1019,142512;16,33038812
6; 1000_15_100;1028,6852;;;;;;;; 1000_58_100;1065,4166;;1001,68384;1065,4166;1034,275417;23,57665897
7; 1000_15_100;1066,8473;;;;;;;; 1000_59_100;1009,70557;;997,47186;1044,4073;1014,101107;14,02960903
8; 1000_15_100;1015,42694;;Best;Worst;Avg;Std;;; 1000_60_100;1038,4576;;1003,1141;1062,0808;1031,272586;20,36278187
9; 1000_15_100;1049,1636;;1003,1141;1082,0271;1031,372512;25,82794498;;; 1000_61_100;1003,1141;;1003,1141;1054,073;1021,226664;21,53847294
0; 1000_16_100;1003,1141;;;;;;;; 1000_62_100;1006,9982;;1001,68384;1062,2268;1025,588468;21,56777048
1; 1000_16_100;1087,866;;;;;;;; 1000_63_100;1008,6477;;989,5351;1067,5573;1021,069744;22,94636327
2; 1000_16_100;1058,7151;;;;;;;; 1000_64_100;1022,4359;;991,8366;1059,5703;1021,932786;18,80418459
3; 1000_16_100;1039,8721;;;;;;;; 1000_65_100;1003,1141;;1001,68384;1070,5214;1028,526049;21,73264158
4; 1000_16_100;1050,2148;;;;;;;; 1000_66_100;1041,295;;987,666;1087,1653;1042,902886;31,72551981
5; 1000_16_100;1007,0413;;;;;;;; 1000_67_100;1003,1141;;998,2942;1063,239;1029,62695;22,11444572
6; 1000_16_100;1004,6072;;;;;;;; 1000_68_100;1074,3181;;1001,68384;1074,3181;1030,094212;23,71836836
7; 1000_16_100;1058,7151;;;;;;;; 1000_69_100;1029,9429;;1002,40405;1064,3088;1022,589199;20,89581223
8; 1000_16_100;1054,5695;;Best;Worst;Avg;Std;;; 1000_70_100;997,63763;;997,63763;1068,1531;1031,337613;22,12200467
9; 1000_16_100;1028,6444;;1003,1141;1087,866;1039,33596;26,70642001;;; 1000_71_100;1079,6705;;987,2004;1079,6705;1031,606478;26,64264909
0; 1000_17_100;1011,4205;;;;;;;; 1000_72_100;1025,5715;;1002,40405;1069,9722;1021,749784;19,8573754
1; 1000_17_100;1003,1141;;;;;;;; 1000_73_100;1047,0782;;1000,0966;1063,3463;1028,463658;21,76576023
2; 1000_17_100;1044,4073;;;;;;;; 1000_74_100;1042,1973;;997,63763;1059,677;1024,721307;18,51533035
3; 1000_17_100;1022,80304;;;;;;;; 1000_75_100;1028,849;;997,63763;1061,241;1032,303813;19,98292268
4; 1000_17_100;1019,9259;;;;;;;; 1000_76_100;994,7754;;994,7754;1057,9404;1021,656551;20,69688163
5; 1000_17_100;980,1012;;;;;;;; 1000_77_100;1005,16864;;997,63763;1068,7202;1018,688995;19,78938343
6; 1000_17_100;1050,1687;;;;;;;; 1000_78_100;1031,847;;1001,68384;1064,338;1032,606974;19,3548236
7; 1000_17_100;1008,06354;;;;;;;; 1000_79_100;1033,2985;;997,63763;1055,7645;1019,138895;18,53830904
8; 1000_17_100;1031,6489;;Best;Worst;Avg;Std;;; 1000_80_100;1037,4308;;982,71075;1066,8473;1029,682993;22,35890702
9; 1000_17_100;1007,3536;;980,1012;1050,1687;1017,900678;19,64286336;;; 1000_81_100;1041,9075;;997,63763;1059,5703;1029,327089;22,06040406
0; 1000_18_100;1006,9982;;;;;;;; 1000_82_100;1028,9557;;998,5746;1074,019;1035,061464;23,68472959
1; 1000_18_100;1007,3536;;;;;;;; 1000_83_100;1008,06354;;997,63763;1064,338;1015,403491;20,26253134
2; 1000_18_100;1100,071;;;;;;;; 1000_84_100;1088,3433;;997,05334;1088,3433;1035,496158;26,74443279
3; 1000_18_100;1003,1141;;;;;;;; 1000_85_100;1008,06354;;1003,1141;1057,9083;1022,502798;18,09801645
4; 1000_18_100;1056,0654;;;;;;;; 1000_86_100;1007,6847;;1003,1141;1060,467;1027,578858;18,26437092
5; 1000_18_100;1095,0559;;;;;;;; 1000_87_100;1008,0609;;984,35394;1059,5703;1024,396837;23,59225262
6; 1000_18_100;1073,242;;;;;;;; 1000_88_100;1028,1506;;1002,5871;1082,7322;1022,169992;24,10593528
7; 1000_18_100;1005,3597;;;;;;;; 1000_89_100;1009,4376;;997,63763;1058,8604;1020,846913;18,91514023
8; 1000_18_100;1014,5055;;Best;Worst;Avg;Std;;; 1000_90_100;1003,1163;;1003,1163;1079,4921;1028,502498;26,41889799
9; 1000_18_100;1036,8555;;1003,1141;1100,071;1039,86209;36,57580931;;; 1000_91_100;997,63763;;997,05334;1068,403;1018,01941;24,83837971
0; 1000_19_100;1007,6236;;;;;;;; 1000_92_100;1037,9036;;1007,3509;1051,3676;1030,421278;14,17327643
1; 1000_19_100;1012,8982;;;;;;;; 1000_93_100;1003,1141;;986,6535;1048,3223;1021,565255;20,70469504
2; 1000_19_100;1039,5236;;;;;;;; 1000_94_100;1002,40405;;997,63763;1054,0939;1020,257542;16,97579159
3; 1000_19_100;1029,9429;;;;;;;; 1000_95_100;1002,40405;;1000,15796;1060,467;1015,330942;20,22116503
4; 1000_19_100;1020,50287;;;;;;;; 1000_96_100;1080,0538;;1000,9101;1080,0538;1024,726609;25,72245914
5; 1000_19_100;1003,1141;;;;;;;; 1000_97_100;1035,4572;;987,8132;1081,8422;1030,737559;24,55848494
6; 1000_19_100;1063,865;;;;;;;; 1000_98_100;997,63763;;997,63763;1047,0782;1017,419253;18,9578771
7; 1000_19_100;988,6511;;;;;;;; 1000_99_100;1015,0341;;997,63763;1044,8733;1014,535788;15,19809592
8; 1000_19_100;1019,6419;;Best;Worst;Avg;Std;;; 1000_100_100;1054,0939;;998,53296;1079,6705;1030,497766;25,11633258
9; 1000_19_100;1027,0792;;988,6511;1063,865;1021,284247;19,77288981;;; 1000_101_100;1003,1141;;989,5351;1067,5573;1022,879385;26,65358775
0; 1000_20_100;1047,8573;;;;;;;; 1000_102_100;1035,1213;;1002,5845;1042,9073;1013,99375;14,54957851
1; 1000_20_100;1019,9503;;;;;;;; 1000_103_100;1047,5875;;1003,1141;1065,4166;1031,707374;21,54879967
2; 1000_20_100;1044,8733;;;;;;;; 1000_104_100;1041,295;;983,39496;1064,7584;1025,473901;24,35788512
3; 1000_20_100;994,7754;;;;;;;; 1000_105_100;1008,06354;;992,00415;1064,338;1017,761573;21,93994231
4; 1000_20_100;1006,9982;;;;;;;; 1000_106_100;1077,839;;982,88745;1077,839;1022,931664;26,9113757
5; 1000_20_100;1062,781;;;;;;;; 1000_107_100;1003,1141;;997,63763;1079,6705;1026,064453;27,80915134
6; 1000_20_100;1007,3509;;;;;;;; 1000_108_100;1000,75287;;997,05334;1043,926;1017,725637;18,84070211
7; 1000_20_100;990,7326;;;;;;;; 1000_109_100;1037,4309;;997,63763;1080,9183;1030,675206;25,27746903
8; 1000_20_100;1135,8014;;Best;Worst;Avg;Std;;; 1000_110_100;1033,5554;;1002,9183;1084,0276;1020,699318;24,18375802
9; 1000_20_100;1037,9036;;990,7326;1135,8014;1034,9024;40,68970657;;; 1000_111_100;997,63763;;997,63763;1073,533;1026,145137;26,79841041
0; 1000_21_100;1020,796;;;;;;;; 1000_112_100;1005,16864;;997,63763;1068,104;1012,584936;19,50959372
1; 1000_21_100;1028,0905;;;;;;;; 1000_113_100;1002,40405;;997,63763;1076,0707;1020,580028;24,23665456
2; 1000_21_100;1111,3789;;;;;;;; 1000_114_100;1004,2932;;1001,68384;1066,8473;1027,442954;23,97579293
3; 1000_21_100;1021,18854;;;;;;;; 1000_115_100;1027,8195;;991,3764;1074,8417;1033,3077;26,23449146
4; 1000_21_100;1002,5871;;;;;;;; 1000_116_100;1014,4739;;977,0839;1044,8733;1021,795044;18,79643939
5; 1000_21_100;1085,4396;;;;;;;; 1000_117_100;1003,1141;;1002,40405;1047,0354;1016,698919;17,01613867
6; 1000_21_100;1005,7609;;;;;;;; 1000_118_100;1009,3641;;982,71075;1042,9073;1011,919869;17,37096227
7; 1000_21_100;1041,2041;;;;;;;; 1000_119_100;1008,0609;;997,63763;1035,9235;1014,386462;12,53190086
8; 1000_21_100;1029,4042;;Best;Worst;Avg;Std;;; 1000_120_100;1004,2932;;997,63763;1042,1973;1014,862763;15,13877831
9; 1000_21_100;1029,2513;;1002,5871;1111,3789;1037,510114;32,80778347;;; 1000_121_100;1003,1141;;1000,0313;1052,0034;1015,25163;18,36536408
0; 1000_22_100;1006,9982;;;;;;;; 1000_122_100;1014,775;;1002,40405;1088,7281;1028,039509;28,40233899
1; 1000_22_100;1077,0138;;;;;;;; 1000_123_100;1038,4396;;997,63763;1067,5573;1017,162071;21,7686579
2; 1000_22_100;1100,7382;;;;;;;; 1000_124_100;1031,9456;;997,63763;1066,8473;1015,627828;21,15803277
3; 1000_22_100;1041,0358;;;;;;;; 1000_125_100;1005,16864;;982,1156;1058,3971;1022,247367;25,15176084
4; 1000_22_100;1041,6123;;;;;;;; 1000_126_100;1008,06354;;982,45807;1029,9429;1009,267049;13,26214386
5; 1000_22_100;1028,6497;;;;;;;; 1000_127_100;1029,9429;;997,63763;1042,7281;1013,035754;14,67397581
6; 1000_22_100;1047,2454;;;;;;;; 1000_128_100;1053,98;;986,1431;1054,0939;1016,738238;24,32964188
7; 1000_22_100;1016,67017;;;;;;;; 1000_129_100;1035,5354;;1000,75287;1054,0939;1020,35066;18,87467706
8; 1000_22_100;1044,6942;;Best;Worst;Avg;Std;;; 1000_130_100;1044,9531;;1003,58;1058,8604;1027,94863;18,77149672
9; 1000_22_100;1031,7604;;1006,9982;1100,7382;1043,641817;26,14353809;;; 1000_131_100;1042,1973;;983,1085;1043,2194;1022,344011;18,20351883
0; 1000_23_100;1008,06354;;;;;;;; 1000_132_100;1040,0519;;1002,5871;1042,9073;1019,966874;15,99206073
1; 1000_23_100;1013,8896;;;;;;;; 1000_133_100;1030,7909;;997,63763;1030,7909;1009,409394;10,57018653
2; 1000_23_100;1014,4739;;;;;;;; 1000_134_100;998,58704;;990,5741;1058,8604;1020,189398;19,41415696
3; 1000_23_100;1020,35345;;;;;;;; 1000_135_100;1020,394;;982,11554;1078,4993;1027,470187;27,43176437
4; 1000_23_100;1002,5845;;;;;;;; 1000_136_100;1022,80304;;986,0583;1057,4602;1015,755722;19,62682361
5; 1000_23_100;1047,6115;;;;;;;; 1000_137_100;997,63763;;997,63763;1062,9366;1024,672006;23,76130569
6; 1000_23_100;1013,3206;;;;;;;; 1000_138_100;1020,8198;;985,57916;1039,8721;1016,233386;18,78034686
7; 1000_23_100;1045,1292;;;;;;;; 1000_139_100;1046,255;;994,77545;1046,255;1016,969789;16,57410453
8; 1000_23_100;1063,0768;;Best;Worst;Avg;Std;;; 1000_140_100;1007,3509;;1002,5871;1086,0482;1027,516218;29,03228347
9; 1000_23_100;1008,06354;;1002,5845;1063,0768;1023,656663;19,5362288;;; 1000_141_100;1020,3112;;1005,16864;1060,467;1035,602588;19,30340635
0; 1000_24_100;1059,5703;;;;;;;; 1000_142_100;1003,1141;;989,5351;1010,7613;1003,004861;5,492584693
1; 1000_24_100;1020,17633;;;;;;;; 1000_143_100;998,3934;;992,69403;1059,5703;1015,839128;26,41218789
2; 1000_24_100;1082,834;;;;;;;; 1000_144_100;1007,6847;;987,0858;1054,0939;1016,981244;20,52762203
