5; 450_950_0.53999996_0.1_90;931,6582;;;;;;;; 450_950_0.86999965_0.1_90;1054,7598;;895,52716;1054,7598;954,411494;45,79353759
6; 450_950_0.53999996_0.1_90;968,2174;;;;;;;; 450_950_0.87999964_0.1_90;985,161;;895,34467;1063,1072;945,799691;49,30265612
7; 450_950_0.53999996_0.1_90;944,0891;;;;;;;; 450_950_0.8899996_0.1_90;944,8446;;869,95593;1039,0371;949,397996;53,66545638
8; 450_950_0.53999996_0.1_90;941,9869;;Best;Worst;Avg;Std;;; 450_950_0.8999996_0.1_90;844,6298;;844,6298;1051,9185;937,859557;53,86821098
9; 450_950_0.53999996_0.1_90;880,3504;;880,3504;993,20447;939,753907;34,43025612;;; 450_950_0.9099996_0.1_90;989,6133;;879,5258;1014,0699;936,373918;43,05645713
0; 450_950_0.54999995_0.1_90;1002,676;;;;;;;; 450_950_0.9199996_0.1_90;969,7165;;921,4188;1134,0249;968,276572;67,02325693
1; 450_950_0.54999995_0.1_90;934,4312;;;;;;;; 450_950_0.9299996_0.1_90;969,2987;;885,01715;1015,2666;946,61485;38,36971032
2; 450_950_0.54999995_0.1_90;881,89124;;;;;;;; 450_950_0.9399996_0.1_90;999,744;;891,6425;1002,268;948,215699;37,11525943
3; 450_950_0.54999995_0.1_90;924,92737;;;;;;;; 450_950_0.9499996_0.1_90;1011,91846;;886,09607;1012,2051;940,720408;44,29142134
4; 450_950_0.54999995_0.1_90;896,2201;;;;;;;; 450_950_0.95999956_0.1_90;956,9261;;854,8258;1043,2737;938,409847;55,84925254
5; 450_950_0.54999995_0.1_90;1030,2546;;;;;;;;;;;;;;
6; 450_950_0.54999995_0.1_90;970,88385;;;;;;;;;;;;;;
7; 450_950_0.54999995_0.1_90;858,3026;;;;;;;;;;;;;;
8; 450_950_0.54999995_0.1_90;923,5801;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.54999995_0.1_90;892,3199;;858,3026;1030,2546;931,548696;52,0410551;;;;;;;;;
0; 450_950_0.55999994_0.1_90;878,30444;;;;;;;;;;;;;;
1; 450_950_0.55999994_0.1_90;1007,2261;;;;;;;;;;;;;;
2; 450_950_0.55999994_0.1_90;911,1885;;;;;;;;;;;;;;
3; 450_950_0.55999994_0.1_90;908,43146;;;;;;;;;;;;;;
4; 450_950_0.55999994_0.1_90;941,2109;;;;;;;;;;;;;;
5; 450_950_0.55999994_0.1_90;926,27014;;;;;;;;;;;;;;
6; 450_950_0.55999994_0.1_90;942,5269;;;;;;;;;;;;;;
7; 450_950_0.55999994_0.1_90;925,13025;;;;;;;;;;;;;;
8; 450_950_0.55999994_0.1_90;956,26434;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.55999994_0.1_90;841,58;;841,58;1007,2261;923,813303;42,30930096;;;;;;;;;
0; 450_950_0.56999993_0.1_90;947,5061;;;;;;;;;;;;;;
1; 450_950_0.56999993_0.1_90;903,3235;;;;;;;;;;;;;;
2; 450_950_0.56999993_0.1_90;910,04376;;;;;;;;;;;;;;
3; 450_950_0.56999993_0.1_90;902,69055;;;;;;;;;;;;;;
4; 450_950_0.56999993_0.1_90;929,3965;;;;;;;;;;;;;;
5; 450_950_0.56999993_0.1_90;940,1638;;;;;;;;;;;;;;
6; 450_950_0.56999993_0.1_90;871,5958;;;;;;;;;;;;;;
7; 450_950_0.56999993_0.1_90;901,08923;;;;;;;;;;;;;;
8; 450_950_0.56999993_0.1_90;958,68463;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.56999993_0.1_90;904,94385;;871,5958;958,68463;916,943772;25,01734351;;;;;;;;;
0; 450_950_0.5799999_0.1_90;986,28687;;;;;;;;;;;;;;
1; 450_950_0.5799999_0.1_90;924,77966;;;;;;;;;;;;;;
2; 450_950_0.5799999_0.1_90;859,3456;;;;;;;;;;;;;;
3; 450_950_0.5799999_0.1_90;912,48346;;;;;;;;;;;;;;
4; 450_950_0.5799999_0.1_90;926,73694;;;;;;;;;;;;;;
5; 450_950_0.5799999_0.1_90;992,06866;;;;;;;;;;;;;;
6; 450_950_0.5799999_0.1_90;905,60864;;;;;;;;;;;;;;
7; 450_950_0.5799999_0.1_90;893,86743;;;;;;;;;;;;;;
8; 450_950_0.5799999_0.1_90;929,64374;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.5799999_0.1_90;845,06586;;845,06586;992,06866;917,588686;44,64474457;;;;;;;;;
0; 450_950_0.5899999_0.1_90;876,47705;;;;;;;;;;;;;;
1; 450_950_0.5899999_0.1_90;951,673;;;;;;;;;;;;;;
2; 450_950_0.5899999_0.1_90;915,338;;;;;;;;;;;;;;
3; 450_950_0.5899999_0.1_90;907,65735;;;;;;;;;;;;;;
4; 450_950_0.5899999_0.1_90;892,45154;;;;;;;;;;;;;;
5; 450_950_0.5899999_0.1_90;933,02856;;;;;;;;;;;;;;
6; 450_950_0.5899999_0.1_90;904,8423;;;;;;;;;;;;;;
7; 450_950_0.5899999_0.1_90;1056,6318;;;;;;;;;;;;;;
8; 450_950_0.5899999_0.1_90;867,4966;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.5899999_0.1_90;1059,294;;867,4966;1059,294;936,48902;65,06820626;;;;;;;;;
0; 450_950_0.5999999_0.1_90;910,64624;;;;;;;;;;;;;;
1; 450_950_0.5999999_0.1_90;1029,5598;;;;;;;;;;;;;;
2; 450_950_0.5999999_0.1_90;938,22314;;;;;;;;;;;;;;
3; 450_950_0.5999999_0.1_90;914,5675;;;;;;;;;;;;;;
4; 450_950_0.5999999_0.1_90;933,3151;;;;;;;;;;;;;;
5; 450_950_0.5999999_0.1_90;925,48413;;;;;;;;;;;;;;
6; 450_950_0.5999999_0.1_90;997,8697;;;;;;;;;;;;;;
7; 450_950_0.5999999_0.1_90;907,3162;;;;;;;;;;;;;;
