1157,1261;;;;;
1181,2319;;;;;
1190,027;;;;;
1180,772;;;;;
1167,9208;;;;;
1225,3119;;;;;
1236,7683;;;;;
1181,2115;;Best;Worst;Average;Std
1107,037;;1063,1339;1245,685;1166,574817;48,18502342
1140,2086;;;;;
1142,6522;;;;;
1101,9928;;;;;
1245,685;;;;;
1183,2246;;;;;
1174,7614;;;;;
1238,6106;;;;;
1193,6396;;;;;
1180,0413;;;;;
1113,0742;;;;;
1231,5471;;;;;
1065,1725;;;;;
1108,5648;;;;;
1193,6158;;;;;
1227,8706;;;;;
1128,8354;;;;;
1185,0259;;;;;
1123,2761;;;;;
1191,2894;;;;;
1234,3951;;;;;
1168,647;;;;;
1112,865;;;;;
1118,3015;;;;;
1063,1339;;;;;
1198,959;;;;;
1132,1809;;;;;
1171,7166;;;;;
