;Current Best;Average;Worst;Global Best
136;816,67694;886,15735;1329,929;816,67694
137;816,67694;884,03766;1514,799;816,67694
138;816,67694;879,92535;1306,3762;816,67694
139;816,67694;897,2757;1418,0873;816,67694
140;816,67694;885,1708;1360,0171;816,67694
141;816,67694;880,48926;1217,6107;816,67694
142;816,67694;885,9073;1351,7296;816,67694
143;816,67694;889,2536;1334,4221;816,67694
144;816,67694;879,90063;1437,5923;816,67694
145;816,67694;878,6674;1270,5809;816,67694
146;816,67694;877,94275;1307,3673;816,67694
147;816,67694;880,3252;1213,2871;816,67694
148;816,67694;872,237;1230,1616;816,67694
149;816,67694;872,06647;1325,9391;816,67694
150;816,67694;890,4168;1349,9119;816,67694
151;816,67694;895,6763;1246,425;816,67694
152;816,67694;891,101;1248,807;816,67694
153;816,67694;884,512;1320,0702;816,67694
154;816,67694;883,34204;1274,3107;816,67694
155;816,67694;876,8318;1211,3065;816,67694
156;816,67694;886,82;1277,6658;816,67694
157;816,67694;901,17487;1301,1453;816,67694
158;816,67694;885,8968;1268,6019;816,67694
159;816,67694;865,6763;1219,9849;816,67694
160;816,67694;880,92737;1374,5157;816,67694
161;816,67694;887,29553;1304,279;816,67694
162;816,67694;892,3419;1446,7246;816,67694
163;816,67694;875,03076;1311,7964;816,67694
164;816,67694;875,6768;1321,8446;816,67694
165;816,67694;877,8875;1193,45;816,67694
166;816,67694;883,6131;1297,6108;816,67694
167;816,67694;884,1231;1245,688;816,67694
168;816,67694;888,88654;1360,2344;816,67694
169;816,67694;872,9324;1257,9113;816,67694
170;816,67694;881,65234;1418,3173;816,67694
171;816,67694;875,86584;1271,1432;816,67694
172;816,67694;868,92487;1396,5497;816,67694
173;816,67694;882,83905;1188,0146;816,67694
174;816,67694;876,1149;1255,6273;816,67694
175;816,67694;872,6599;1264,968;816,67694
176;816,67694;880,9722;1247,5499;816,67694
177;816,67694;883,81213;1322,1923;816,67694
178;816,67694;894,328;1363,0989;816,67694
179;816,67694;887,39734;1337,7324;816,67694
180;816,67694;877,9431;1202,9685;816,67694
181;816,67694;894,616;1419,222;816,67694
182;816,67694;878,16626;1373,8813;816,67694
183;816,67694;887,4517;1296,991;816,67694
184;816,67694;891,77203;1331,3584;816,67694
185;816,67694;868,5627;1334,6167;816,67694
186;816,67694;880,5885;1330,5631;816,67694
187;816,67694;872,39734;1236,9165;816,67694
188;816,67694;876,27386;1300,2783;816,67694
189;816,67694;878,1249;1299,2512;816,67694
190;816,67694;874,3292;1209,3911;816,67694
191;816,67694;878,3083;1185,5197;816,67694
192;816,67694;874,6534;1184,8234;816,67694
193;816,67694;890,9116;1300,5872;816,67694
194;816,67694;873,6759;1191,7828;816,67694
195;816,67694;882,7818;1211,3065;816,67694
196;816,67694;873,40155;1268,2098;816,67694
197;816,67694;878,5125;1339,7709;816,67694
198;816,67694;877,98737;1312,077;816,67694
199;816,67694;874,9468;1261,6398;816,67694
200;816,67694;874,4573;1349,488;816,67694
201;816,67694;887,4427;1288,6672;816,67694
202;816,67694;879,7854;1266,8551;816,67694
203;816,67694;873,9006;1272,3381;816,67694
204;816,67694;885,50726;1260,5334;816,67694
205;816,67694;876,6548;1218,7605;816,67694
206;816,67694;880,0827;1341,5123;816,67694
207;816,67694;885,6484;1274,1619;816,67694
208;816,67694;884,0742;1316,3329;816,67694
209;816,67694;881,9114;1312,8469;816,67694
210;816,67694;877,8105;1251,8134;816,67694
211;816,67694;888,2733;1251,6705;816,67694
212;816,67694;877,78064;1328,3738;816,67694
213;816,67694;878,2092;1323,2344;816,67694
214;816,67694;875,245;1211,3065;816,67694
215;816,67694;874,0115;1251,0336;816,67694
216;816,67694;877,91785;1211,3065;816,67694
217;816,67694;883,89075;1251,2106;816,67694
218;816,67694;887,3639;1335,3169;816,67694
219;816,67694;884,18884;1219,9849;816,67694
220;816,67694;874,91547;1219,9849;816,67694
221;816,67694;899,6591;1353,4327;816,67694
222;816,67694;889,17255;1266,0125;816,67694
223;816,67694;883,3469;1296,6765;816,67694
224;816,67694;877,28546;1280,9784;816,67694
225;816,67694;890,5564;1317,2108;816,67694
226;816,67694;877,51715;1233,4481;816,67694
227;816,67694;868,1781;1258,5685;816,67694
228;816,67694;882,98236;1321,1415;816,67694
229;816,67694;878,3582;1235,0986;816,67694
230;816,67694;872,579;1249,8618;816,67694
231;816,67694;875,11774;1290,6407;816,67694
232;816,67694;875,61847;1230,5272;816,67694
233;816,67694;875,22894;1211,3065;816,67694
234;816,67694;872,3981;1219,9849;816,67694
235;816,67694;887,39923;1392,571;816,67694
236;816,67694;864,10614;1185,5197;816,67694
237;816,67694;886,59106;1318,8512;816,67694
238;816,67694;880,21606;1249,7504;816,67694
239;816,67694;880,7927;1303,2383;816,67694
240;816,67694;880,34393;1211,3065;816,67694
241;816,67694;878,79016;1300,4327;816,67694
242;816,67694;873,9415;1317,7094;816,67694
243;816,67694;876,38336;1407,4083;816,67694
244;816,67694;880,02783;1316,6897;816,67694
245;816,67694;878,53986;1253,1705;816,67694
246;816,67694;890,0379;1293,4149;816,67694
247;816,67694;879,21826;1200,7434;816,67694
248;816,67694;880,845;1209,3911;816,67694
249;816,67694;899,3467;1372,2163;816,67694
250;816,67694;876,18054;1520,3851;816,67694
251;816,67694;879,99896;1292,8751;816,67694
252;816,67694;873,36017;1365,5161;816,67694
253;816,67694;877,2851;1199,5737;816,67694
254;816,67694;881,1403;1327,3168;816,67694
255;816,67694;868,2375;1209,3911;816,67694
256;816,67694;872,08325;1399,209;816,67694
257;816,67694;883,8609;1318,4749;816,67694
