0; 800_450_0.7_0.1_48;859,3053;;;;;;; 800_450_0.7_0.1_384;1038,7207;;809,99835;1038,7207;884,349542
1; 800_450_0.7_0.1_48;837,9027;;;;;;; 800_450_0.7_0.1_392;883,8002;;825,02405;950,16675;869,435341
2; 800_450_0.7_0.1_48;856,3815;;;;;;; 800_450_0.7_0.1_400;854,4303;;834,57996;936,5734;876,917037
3; 800_450_0.7_0.1_48;844,29736;;;;;;; 800_450_0.7_0.1_408;886,2271;;837,7402;930,27026;883,135489
4; 800_450_0.7_0.1_48;828,89404;;;;;;; 800_450_0.7_0.1_416;822,7394;;817,3905;930,69446;868,19719
5; 800_450_0.7_0.1_48;910,63763;;;;;;; 800_450_0.7_0.1_424;851,26526;;803,4315;981,8466;882,756676
6; 800_450_0.7_0.1_48;903,4999;;;;;;; 800_450_0.7_0.1_432;953,9582;;832,6336;953,9582;864,212626
7; 800_450_0.7_0.1_48;875,90753;;;;;;; 800_450_0.7_0.1_440;810,69403;;810,69403;899,40204;856,493788
8; 800_450_0.7_0.1_48;854,44946;;Best;Worst;Average;;; 800_450_0.7_0.1_448;898,429;;803,311;898,54694;857,842899
9; 800_450_0.7_0.1_48;814,1001;;814,1001;910,63763;858,537552;;; 800_450_0.7_0.1_456;917,4987;;811,3003;983,6317;887,575382
0; 800_450_0.7_0.1_56;854,47546;;;;;;; 800_450_0.7_0.1_464;851,26526;;849,56354;978,36273;883,509905
1; 800_450_0.7_0.1_56;909,29315;;;;;;; 800_450_0.7_0.1_472;896,9784;;855,2038;955,5203;885,777119
2; 800_450_0.7_0.1_56;811,069;;;;;;; 800_450_0.7_0.1_480;849,0896;;837,08777;903,69556;871,191271
3; 800_450_0.7_0.1_56;837,67255;;;;;;; 800_450_0.7_0.1_488;822,7004;;809,4812;921,1752;870,310501
4; 800_450_0.7_0.1_56;852,5181;;;;;;; 800_450_0.7_0.1_496;835,6916;;812,90607;958,641;867,680723
5; 800_450_0.7_0.1_56;897,94977;;;;;;; 800_450_0.7_0.1_504;907,97485;;823,2284;919,3085;876,114283
6; 800_450_0.7_0.1_56;955,35846;;;;;;; 800_450_0.7_0.1_512;894,7213;;837,4608;959,1598;892,233382
7; 800_450_0.7_0.1_56;851,9174;;;;;;; 800_450_0.7_0.1_520;1073,2546;;817,3717;1073,2546;893,219599
8; 800_450_0.7_0.1_56;819,89545;;Best;Worst;Average;;; 800_450_0.7_0.1_528;910,39606;;810,6941;967,8729;885,679022
9; 800_450_0.7_0.1_56;867,513;;811,069;955,35846;865,766234;;; 800_450_0.7_0.1_536;852,8264;;829,4114;954,52686;871,099056
0; 800_450_0.7_0.1_64;878,3933;;;;;;; 800_450_0.7_0.1_544;839,47144;;839,47144;999,96735;893,800654
1; 800_450_0.7_0.1_64;816,3436;;;;;;; 800_450_0.7_0.1_552;943,10254;;826,77435;943,10254;889,154429
2; 800_450_0.7_0.1_64;862,72095;;;;;;; 800_450_0.7_0.1_560;821,9766;;821,9766;907,59534;876,26756
3; 800_450_0.7_0.1_64;881,59235;;;;;;; 800_450_0.7_0.1_568;807,89294;;797,45123;921,15643;863,643798
4; 800_450_0.7_0.1_64;907,1319;;;;;;; 800_450_0.7_0.1_576;881,7065;;835,0284;1020,67505;895,326777
5; 800_450_0.7_0.1_64;849,5536;;;;;;; 800_450_0.7_0.1_584;871,219;;821,612;879,9439;853,69303
6; 800_450_0.7_0.1_64;867,2379;;;;;;; 800_450_0.7_0.1_592;851,26526;;837,36993;1089,423;900,438372
7; 800_450_0.7_0.1_64;873,54407;;;;;;; 800_450_0.7_0.1_600;842,31696;;834,8908;969,0686;882,27138
8; 800_450_0.7_0.1_64;848,3834;;Best;Worst;Average;;; 800_450_0.7_0.1_608;801,8739;;801,8739;963,5065;881,11393
9; 800_450_0.7_0.1_64;901,20184;;816,3436;907,1319;868,610291;;; 800_450_0.7_0.1_616;886,6028;;839,71246;1008,2114;896,956918
0; 800_450_0.7_0.1_72;809,335;;;;;;; 800_450_0.7_0.1_624;875,6302;;838,401;919,5887;889,434167
1; 800_450_0.7_0.1_72;862,20807;;;;;;; 800_450_0.7_0.1_632;884,31146;;833,11676;910,8267;864,653992
2; 800_450_0.7_0.1_72;832,892;;;;;;; 800_450_0.7_0.1_640;932,89075;;837,91705;974,3495;890,524687
3; 800_450_0.7_0.1_72;816,67694;;;;;;; 800_450_0.7_0.1_648;846,99713;;835,01483;922,0532;865,469229
4; 800_450_0.7_0.1_72;887,517;;;;;;; 800_450_0.7_0.1_656;840,3814;;836,52594;927,90076;881,225589
5; 800_450_0.7_0.1_72;871,1724;;;;;;; 800_450_0.7_0.1_664;875,16235;;803,1278;956,5339;876,878902
6; 800_450_0.7_0.1_72;890,7857;;;;;;; 800_450_0.7_0.1_672;894,79016;;810,6941;894,79016;854,400629
7; 800_450_0.7_0.1_72;825,8299;;;;;;; 800_450_0.7_0.1_680;835,48315;;835,48315;923,148;880,902045
8; 800_450_0.7_0.1_72;864,4838;;Best;Worst;Average;;; 800_450_0.7_0.1_688;881,68646;;810,6052;917,88416;872,26024
9; 800_450_0.7_0.1_72;963,54614;;809,335;963,54614;862,444695;;; 800_450_0.7_0.1_696;807,9123;;803,39355;924,0019;851,328546
0; 800_450_0.7_0.1_80;856,5827;;;;;;; 800_450_0.7_0.1_704;893,5011;;830,9456;1043,9445;884,948242
1; 800_450_0.7_0.1_80;837,5388;;;;;;; 800_450_0.7_0.1_712;914,8741;;830,67096;995,987;894,372839
2; 800_450_0.7_0.1_80;936,90564;;;;;;; 800_450_0.7_0.1_720;909,4848;;804,03784;928,2656;880,788721
3; 800_450_0.7_0.1_80;879,99945;;;;;;; 800_450_0.7_0.1_728;877,14136;;837,2939;978,9646;884,89476
4; 800_450_0.7_0.1_80;870,6031;;;;;;; 800_450_0.7_0.1_736;864,8215;;811,069;888,8892;855,740434
5; 800_450_0.7_0.1_80;848,3321;;;;;;; 800_450_0.7_0.1_744;849,2304;;834,6821;983,8835;880,560914
6; 800_450_0.7_0.1_80;861,8181;;;;;;; 800_450_0.7_0.1_752;925,7802;;839,3774;954,81323;891,863927
7; 800_450_0.7_0.1_80;852,3951;;;;;;; 800_450_0.7_0.1_760;841,8305;;841,8305;941,1018;892,838092
8; 800_450_0.7_0.1_80;851,3478;;Best;Worst;Average;;; 800_450_0.7_0.1_768;860,94336;;820,1531;992,8069;881,302266
9; 800_450_0.7_0.1_80;858,94037;;837,5388;936,90564;865,446316;;; 800_450_0.7_0.1_776;843,1929;;841,36334;950,3095;875,946484
0; 800_450_0.7_0.1_88;930,964;;;;;;; 800_450_0.7_0.1_784;917,88763;;827,73224;997,2086;914,133527
1; 800_450_0.7_0.1_88;895,7618;;;;;;; 800_450_0.7_0.1_792;906,9201;;836,70514;1011,1119;900,896879
2; 800_450_0.7_0.1_88;867,9458;;;;;;; 800_450_0.7_0.1_800;837,23865;;820,4027;997,11597;874,057083
3; 800_450_0.7_0.1_88;821,8278;;;;;;;;;;;;
4; 800_450_0.7_0.1_88;857,3299;;;;;;;;;;;;
5; 800_450_0.7_0.1_88;860,8999;;;;;;;;;;;;
6; 800_450_0.7_0.1_88;882,1936;;;;;;;;;;;;
7; 800_450_0.7_0.1_88;861,16125;;;;;;;;;;;;
8; 800_450_0.7_0.1_88;857,0106;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_88;920,51825;;821,8278;930,964;875,56129;;;;;;;;
0; 800_450_0.7_0.1_96;869,63745;;;;;;;;;;;;
1; 800_450_0.7_0.1_96;933,6195;;;;;;;;;;;;
2; 800_450_0.7_0.1_96;861,44507;;;;;;;;;;;;
3; 800_450_0.7_0.1_96;920,3244;;;;;;;;;;;;
4; 800_450_0.7_0.1_96;849,359;;;;;;;;;;;;
5; 800_450_0.7_0.1_96;872,61035;;;;;;;;;;;;
6; 800_450_0.7_0.1_96;871,57104;;;;;;;;;;;;
7; 800_450_0.7_0.1_96;892,3306;;;;;;;;;;;;
8; 800_450_0.7_0.1_96;918,1275;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_96;932,6616;;849,359;933,6195;892,168651;;;;;;;;
