0; 100000_19_1000.0_10.0_0.99993;957,06683;;;;;
1; 100000_19_1000.0_10.0_0.99993;959,5963;;;;;
2; 100000_19_1000.0_10.0_0.99993;955,997;;;;;
3; 100000_19_1000.0_10.0_0.99993;949,5582;;;;;
4; 100000_19_1000.0_10.0_0.99993;956,4192;;;;;
5; 100000_19_1000.0_10.0_0.99993;955,9971;;;;;
6; 100000_19_1000.0_10.0_0.99993;955,997;;;;;
7; 100000_19_1000.0_10.0_0.99993;944,8763;;;;;
8; 100000_19_1000.0_10.0_0.99993;958,31665;;Best;Worst;Avg;Std
9; 100000_19_1000.0_10.0_0.99993;955,9971;;944,8763;959,5963;954,982168;4,177173683
