2184,934;;;;;
2229,838;;;;;
2028,3772;;;;;
2099,3748;;;;;
2447,7244;;;;;
2233,9482;;;;;
2095,0132;;;;;
2178,1914;;;;;
1943,4015;;;;;
1840,3031;;;;;
2126,07;;;;;
2200,5002;;;;;
2018,7151;;;;;
2152,691;;;;;
2264,4116;;;;;
1986,8296;;;;;
2233,3145;;;;;
2213,5151;;;;;
2221,118;;;;;
2176,2954;;;;;
2047,5306;;;;;
2202,8347;;;;;
2288,1409;;;;;
1972,4093;;;;;
2235,1438;;;;;
2138,0706;;;;;
2320,632;;;;;
2076,5605;;;;;
2162,5408;;;;;
2228,34;;;;;
2004,1841;;;;;
2258,8325;;;;;
2305,6846;;;;;
2353,4924;;;;;
2299,478;;;;;
2218,209;;;;;
2186,3013;;;;;
2045,4075;;;;;
2155,623;;;;;
2132,0344;;;;;
2000,8464;;;;;
1986,5428;;;;;
1868,0391;;;;;
2278,9932;;;;;
2202,1206;;;;;
2273,7615;;;;;
2276,424;;;;;
2037,9983;;;;;
2225,8882;;;;;
2079,8596;;;;;
2050,3354;;;;;
2294,4412;;;;;
2121,5566;;;;;
2155,8381;;;;;
2190,9985;;;;;
2042,4697;;;;;
1765,1095;;;;;
2164,7417;;;;;
2103,5178;;;;;
2098,1406;;;;;
1978,9628;;;;;
2121,651;;;;;
2113,8096;;;;;
2135,755;;;;;
2432,0332;;;;;
2570,6616;;;;;
2143,5645;;;;;
2078,9097;;;;;
1914,733;;;;;
1957,643;;;;;
2272,002;;;;;
2325,3481;;;;;
2111,296;;;;;
2295,2798;;;;;
2263,3508;;;;;
2256,5;;;;;
2230,0269;;;;;
2220,2422;;;;;
2173,7769;;;;;
2243,0396;;;;;
2228,8333;;;;;
2277,8005;;;;;
2181,5872;;;;;
2296,703;;;;;
2383,4324;;;;;
2178,664;;;;;
2265,6812;;;;;
2149,0852;;;;;
2294,9624;;;;;
2004,4227;;;;;
2022,0366;;;;;
2372,4314;;;;;
2108,9778;;;;;
2084,373;;;;;
2277,916;;;;;
2230,0098;;;;;
2239,7256;;;;;
2234,394;;;;;
2216,4258;;;;;
2173,6746;;;;;
2083,0586;;;;;
2135,4512;;;;;
2304,1099;;;;;
2317,7295;;;;;
2266,434;;;;;
2159,143;;;;;
2123,582;;;;;
2312,185;;;;;
2063,608;;;;;
2138,3335;;;;;
2058,77;;;;;
2341,246;;;;;
2061,5522;;;;;
2221,4084;;;;;
2436,3733;;;;;
2305,823;;;;;
2043,1073;;;;;
2184,1208;;;;;
2111,6821;;;;;
2182,9702;;;;;
2148,7104;;;;;
2081,896;;;;;
2432,4397;;;;;
2300,5515;;;;;
2188,2153;;;;;
2191,7437;;;;;
