8; 100_100_0.45000005_0.1_5;1010,4636;;Best;Worst;Average;;;;;;;;
9; 100_100_0.45000005_0.1_5;1037,1798;;949,66785;1087,9585;1012,755645;;;;;;;;
0; 100_100_0.50000006_0.1_5;1031,266;;;;;;;;;;;;
1; 100_100_0.50000006_0.1_5;1050,4158;;;;;;;;;;;;
2; 100_100_0.50000006_0.1_5;1095,4475;;;;;;;;;;;;
3; 100_100_0.50000006_0.1_5;1009,7929;;;;;;;;;;;;
4; 100_100_0.50000006_0.1_5;916,19464;;;;;;;;;;;;
5; 100_100_0.50000006_0.1_5;1050,4347;;;;;;;;;;;;
6; 100_100_0.50000006_0.1_5;1009,98663;;;;;;;;;;;;
7; 100_100_0.50000006_0.1_5;1082,6696;;;;;;;;;;;;
8; 100_100_0.50000006_0.1_5;1054,5067;;Best;Worst;Average;;;;;;;;
9; 100_100_0.50000006_0.1_5;1129,5679;;916,19464;1129,5679;1043,028237;;;;;;;;
0; 100_100_0.5500001_0.1_5;1119,3617;;;;;;;;;;;;
1; 100_100_0.5500001_0.1_5;1023,52563;;;;;;;;;;;;
2; 100_100_0.5500001_0.1_5;1084,3384;;;;;;;;;;;;
3; 100_100_0.5500001_0.1_5;957,13245;;;;;;;;;;;;
4; 100_100_0.5500001_0.1_5;1038,8289;;;;;;;;;;;;
5; 100_100_0.5500001_0.1_5;1093,6725;;;;;;;;;;;;
6; 100_100_0.5500001_0.1_5;1005,07446;;;;;;;;;;;;
7; 100_100_0.5500001_0.1_5;928,14734;;;;;;;;;;;;
8; 100_100_0.5500001_0.1_5;924,8488;;Best;Worst;Average;;;;;;;;
9; 100_100_0.5500001_0.1_5;1028,1349;;924,8488;1119,3617;1020,306508;;;;;;;;
0; 100_100_0.6000001_0.1_5;958,1347;;;;;;;;;;;;
1; 100_100_0.6000001_0.1_5;1056,0028;;;;;;;;;;;;
2; 100_100_0.6000001_0.1_5;1153,4363;;;;;;;;;;;;
3; 100_100_0.6000001_0.1_5;1010,9464;;;;;;;;;;;;
4; 100_100_0.6000001_0.1_5;992,4958;;;;;;;;;;;;
5; 100_100_0.6000001_0.1_5;941,57574;;;;;;;;;;;;
6; 100_100_0.6000001_0.1_5;921,08215;;;;;;;;;;;;
7; 100_100_0.6000001_0.1_5;1000,8081;;;;;;;;;;;;
8; 100_100_0.6000001_0.1_5;1006,9274;;Best;Worst;Average;;;;;;;;
9; 100_100_0.6000001_0.1_5;960,44794;;921,08215;1153,4363;1000,185733;;;;;;;;
0; 100_100_0.6500001_0.1_5;1045,5872;;;;;;;;;;;;
1; 100_100_0.6500001_0.1_5;949,3312;;;;;;;;;;;;
2; 100_100_0.6500001_0.1_5;969,4596;;;;;;;;;;;;
3; 100_100_0.6500001_0.1_5;966,2814;;;;;;;;;;;;
4; 100_100_0.6500001_0.1_5;1123,035;;;;;;;;;;;;
5; 100_100_0.6500001_0.1_5;880,6764;;;;;;;;;;;;
