0; 100000_5_1000.0_0.0;797,45123;;;;;;;;;;;
1; 100000_5_1000.0_0.0;803,311;;;;;;;;;;;
2; 100000_5_1000.0_0.0;801,99445;;;;;;;;;;;
3; 100000_5_1000.0_0.0;807,0883;;;;;;;;;;;
4; 100000_5_1000.0_0.0;801,99445;;;;;;;;;;;
5; 100000_5_1000.0_0.0;816,591;;;;;;;;;;;
6; 100000_5_1000.0_0.0;797,87177;;;;;;;;;;;
7; 100000_5_1000.0_0.0;829,4113;;;;;;;;;;;
8; 100000_5_1000.0_0.0;797,87177;;Best;Worst;Average;;;;;;;
9; 100000_5_1000.0_0.0;803,311;;797,45123;829,4113;805,689627;;;;;Best;Worst;Average
0; 100000_5_1000.0_1.0;803,4315;;;;;;;;;797,45123;829,4113;805,689627
1; 100000_5_1000.0_1.0;801,8739;;;;;;;;;797,45123;832,63354;810,742277
2; 100000_5_1000.0_1.0;801,99445;;;;;;;;;803,1278;834,57996;815,052186
3; 100000_5_1000.0_1.0;824,74786;;;;;;;;;801,47076;807,3617;803,396396
4; 100000_5_1000.0_1.0;803,31104;;;;;;;;;797,45123;830,9456;805,972226
5; 100000_5_1000.0_1.0;801,99445;;;;;;;;;800,51483;835,56323;818,079586
6; 100000_5_1000.0_1.0;829,4113;;;;;;;;;803,31104;834,18713;810,380388
7; 100000_5_1000.0_1.0;797,45123;;;;;;;;;802,60034;835,8793;811,149773
8; 100000_5_1000.0_1.0;832,63354;;Best;Worst;Average;;;;;797,45123;840,7976;810,836979
9; 100000_5_1000.0_1.0;810,5735;;797,45123;832,63354;810,742277;;;;;804,6706;834,2248;811,337345
0; 100000_5_1000.0_2.0;810,69403;;;;;;;;;805,5009;815,71515;810,515184
1; 100000_5_1000.0_2.0;803,1278;;;;;;;;;;;
2; 100000_5_1000.0_2.0;803,311;;;;;;;;;;;
3; 100000_5_1000.0_2.0;834,57996;;;;;;;;;;;
4; 100000_5_1000.0_2.0;803,311;;;;;;;;;;;
5; 100000_5_1000.0_2.0;803,311;;;;;;;;;;;
6; 100000_5_1000.0_2.0;803,31104;;;;;;;;;;;
7; 100000_5_1000.0_2.0;828,70013;;;;;;;;;;;
8; 100000_5_1000.0_2.0;829,4114;;Best;Worst;Average;;;;;;;
9; 100000_5_1000.0_2.0;830,7645;;803,1278;834,57996;815,052186;;;;;;;
0; 100000_5_1000.0_3.0;803,39355;;;;;;;;;;;
1; 100000_5_1000.0_3.0;801,47076;;;;;;;;;;;
2; 100000_5_1000.0_3.0;801,8739;;;;;;;;;;;
3; 100000_5_1000.0_3.0;807,3617;;;;;;;;;;;
4; 100000_5_1000.0_3.0;802,6007;;;;;;;;;;;
5; 100000_5_1000.0_3.0;803,39355;;;;;;;;;;;
6; 100000_5_1000.0_3.0;801,8739;;;;;;;;;;;
7; 100000_5_1000.0_3.0;803,311;;;;;;;;;;;
8; 100000_5_1000.0_3.0;804,12;;Best;Worst;Average;;;;;;;
9; 100000_5_1000.0_3.0;804,5649;;801,47076;807,3617;803,396396;;;;;;;
0; 100000_5_1000.0_4.0;803,39355;;;;;;;;;;;
1; 100000_5_1000.0_4.0;803,31104;;;;;;;;;;;
2; 100000_5_1000.0_4.0;801,8739;;;;;;;;;;;
3; 100000_5_1000.0_4.0;803,31104;;;;;;;;;;;
4; 100000_5_1000.0_4.0;807,1756;;;;;;;;;;;
5; 100000_5_1000.0_4.0;803,4316;;;;;;;;;;;
6; 100000_5_1000.0_4.0;797,45123;;;;;;;;;;;
7; 100000_5_1000.0_4.0;830,9456;;;;;;;;;;;
8; 100000_5_1000.0_4.0;803,4316;;Best;Worst;Average;;;;;;;
9; 100000_5_1000.0_4.0;805,3971;;797,45123;830,9456;805,972226;;;;;;;
0; 100000_5_1000.0_5.0;831,9147;;;;;;;;;;;
1; 100000_5_1000.0_5.0;832,478;;;;;;;;;;;
