3118,0698;;;;;
3024,208;;;;;
2876,2468;;;;;
2901,6067;;;;;
2947,652;;;;;
3116,7664;;;;;
2845,61;;;;;
2956,3936;;;;;
2937,2395;;;;;
2802,8274;;Best;Worst;Average;Std
2896,3506;;2272,6733;3586,7007;2945,972703;168,6394048
2670,013;;;;;
3173,3088;;;;;
2799,914;;;;;
3171,6167;;;;;
2821,2563;;;;;
2515,4114;;;;;
3000,652;;;;;
3015,1128;;;;;
3107,8145;;;;;
2954,468;;;;;
3102,8076;;;;;
3147,4353;;;;;
3182,5527;;;;;
2846,4214;;;;;
3201,4233;;;;;
2933,613;;;;;
2744,7778;;;;;
3030,9417;;;;;
2959,6133;;;;;
2926,607;;;;;
3194,6482;;;;;
3052,696;;;;;
2696,1604;;;;;
3259,8633;;;;;
2979,0964;;;;;
3036,5574;;;;;
2953,5334;;;;;
3161,7964;;;;;
3171,3918;;;;;
3062,6257;;;;;
2973,999;;;;;
3084,8174;;;;;
2672,3403;;;;;
2592,265;;;;;
3112,1748;;;;;
3012,3086;;;;;
2949,608;;;;;
2937,415;;;;;
2609,0293;;;;;
2902,6887;;;;;
3137,7712;;;;;
3169,1055;;;;;
3268,4758;;;;;
3187,1511;;;;;
2951,7854;;;;;
3172,4675;;;;;
3461,0378;;;;;
2873,9026;;;;;
3426,001;;;;;
3002,0042;;;;;
2926,7793;;;;;
2589,92;;;;;
2907,677;;;;;
2786,9026;;;;;
3042,2712;;;;;
2867,5046;;;;;
2886,215;;;;;
3016,9604;;;;;
2885,6997;;;;;
2908,5745;;;;;
3083,419;;;;;
2816,0515;;;;;
3045,8472;;;;;
3028,6233;;;;;
2833,585;;;;;
3037,4287;;;;;
2549,2537;;;;;
2974,772;;;;;
2768,158;;;;;
2984,0732;;;;;
2785,189;;;;;
3276,0422;;;;;
2945,5469;;;;;
3006,7314;;;;;
3238,2788;;;;;
2388,1162;;;;;
2783,1763;;;;;
3031,5186;;;;;
2837,2134;;;;;
2683,0918;;;;;
2871,787;;;;;
2540,0356;;;;;
2844,4473;;;;;
2993,6704;;;;;
2892,4192;;;;;
2553,8464;;;;;
2781,1672;;;;;
2874,0352;;;;;
3057,9456;;;;;
2934,2593;;;;;
3024,3618;;;;;
2798,3896;;;;;
2827,8625;;;;;
2838,326;;;;;
3068,4036;;;;;
3177,5942;;;;;
2894,0962;;;;;
2875,2578;;;;;
3011,7898;;;;;
3043,7976;;;;;
2746,6616;;;;;
2764,7734;;;;;
2705,5981;;;;;
2815,0107;;;;;
2832,0723;;;;;
3072,1367;;;;;
2996,3662;;;;;
2785,4238;;;;;
3041,313;;;;;
3120,648;;;;;
2807,028;;;;;
3016,9446;;;;;
3028,0525;;;;;
2958,1597;;;;;
2883,4648;;;;;
2778,5408;;;;;
3139,014;;;;;
2868,8196;;;;;
2947,0754;;;;;
2895,216;;;;;
3007,7031;;;;;
2775,9207;;;;;
2764,9436;;;;;
2632,3315;;;;;
2862,035;;;;;
2832,8691;;;;;
2795,6814;;;;;
2807,3403;;;;;
3107,1147;;;;;
2972,3315;;;;;
2830,5635;;;;;
3067,3225;;;;;
2726,4604;;;;;
2539,812;;;;;
2535,788;;;;;
2938,6355;;;;;
2940,623;;;;;
3252,9934;;;;;
3056,2363;;;;;
2977,0693;;;;;
2897,8604;;;;;
3076,151;;;;;
2896,4968;;;;;
3011,8884;;;;;
2759,3281;;;;;
2799,3723;;;;;
2677,8296;;;;;
2910,7573;;;;;
3141,6306;;;;;
2955,413;;;;;
2952,7275;;;;;
3173,566;;;;;
3053,838;;;;;
3031,7166;;;;;
2840,4111;;;;;
2914,788;;;;;
2690,309;;;;;
3198,4497;;;;;
3316,0007;;;;;
2778,2441;;;;;
2874,2593;;;;;
3030,7234;;;;;
2849,933;;;;;
2834,105;;;;;
2971,388;;;;;
2989,245;;;;;
2803,765;;;;;
2897,6511;;;;;
3013,1401;;;;;
2791,6843;;;;;
2744,7046;;;;;
2800,5503;;;;;
3469,5361;;;;;
3194,2412;;;;;
3099,1497;;;;;
2814,958;;;;;
2800,7136;;;;;
3149,0972;;;;;
3026,0413;;;;;
2942,6304;;;;;
3043,8308;;;;;
2766,3254;;;;;
2672,5244;;;;;
2908,7441;;;;;
3211,5261;;;;;
2788,63;;;;;
3045,4016;;;;;
2925,922;;;;;
2875,428;;;;;
2867,191;;;;;
2812,063;;;;;
3104,0154;;;;;
2932,6611;;;;;
3127,4526;;;;;
2844,156;;;;;
3105,2976;;;;;
3112,5125;;;;;
2769,794;;;;;
3397,5317;;;;;
3093,1956;;;;;
3190,9883;;;;;
3102,1267;;;;;
3084,0217;;;;;
2783,4062;;;;;
2727,0315;;;;;
2926,8755;;;;;
2672,1602;;;;;
3162,4458;;;;;
2997,6562;;;;;
2969,2544;;;;;
2803,3901;;;;;
2915,2966;;;;;
2935,2278;;;;;
2895,1624;;;;;
3081,8628;;;;;
2685,3374;;;;;
2956,398;;;;;
2865,33;;;;;
3074,934;;;;;
2802,508;;;;;
2848,9258;;;;;
3073,0203;;;;;
3109,0396;;;;;
3121,1362;;;;;
3073,0913;;;;;
2982,5686;;;;;
2678,1787;;;;;
2785,0042;;;;;
3024,9148;;;;;
2986,362;;;;;
2886,1763;;;;;
2767,7085;;;;;
3164,3667;;;;;
2927,7134;;;;;
2842,9792;;;;;
2950,321;;;;;
2829,0286;;;;;
2938,7468;;;;;
3199,079;;;;;
2932,4368;;;;;
3081,4626;;;;;
2741,365;;;;;
3014,3064;;;;;
2807,9397;;;;;
2606,622;;;;;
2849,854;;;;;
2774,809;;;;;
