4; 10000_54_25;1203,6914;;;;;;;;;;;;;;
5; 10000_54_25;1207,7582;;;;;;;;;;;;;;
6; 10000_54_25;1199,1392;;;;;;;;;;;;;;
7; 10000_54_25;1181,5063;;;;;;;;;;;;;;
8; 10000_54_25;1190,259;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_25;1231,3749;;1181,5063;1239,102;1212,94405;18,63742794;;;;;;;;;
0; 10000_54_26;1196,0554;;;;;;;;;;;;;;
1; 10000_54_26;1207,3644;;;;;;;;;;;;;;
2; 10000_54_26;1206,646;;;;;;;;;;;;;;
3; 10000_54_26;1241,0325;;;;;;;;;;;;;;
4; 10000_54_26;1193,173;;;;;;;;;;;;;;
5; 10000_54_26;1234,2439;;;;;;;;;;;;;;
6; 10000_54_26;1194,5825;;;;;;;;;;;;;;
7; 10000_54_26;1193,0796;;;;;;;;;;;;;;
8; 10000_54_26;1204,4365;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_26;1195,547;;1193,0796;1241,0325;1206,61608;16,41922679;;;;;;;;;
0; 10000_54_27;1183,4858;;;;;;;;;;;;;;
1; 10000_54_27;1196,3184;;;;;;;;;;;;;;
2; 10000_54_27;1202,2468;;;;;;;;;;;;;;
3; 10000_54_27;1201,1779;;;;;;;;;;;;;;
4; 10000_54_27;1188,4612;;;;;;;;;;;;;;
5; 10000_54_27;1208,1956;;;;;;;;;;;;;;
6; 10000_54_27;1201,3367;;;;;;;;;;;;;;
7; 10000_54_27;1190,3523;;;;;;;;;;;;;;
8; 10000_54_27;1236,894;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_27;1200,6929;;1183,4858;1236,894;1200,91616;13,9324766;;;;;;;;;
0; 10000_54_28;1200,2496;;;;;;;;;;;;;;
1; 10000_54_28;1186,5813;;;;;;;;;;;;;;
2; 10000_54_28;1204,4498;;;;;;;;;;;;;;
3; 10000_54_28;1215,8574;;;;;;;;;;;;;;
4; 10000_54_28;1193,7308;;;;;;;;;;;;;;
5; 10000_54_28;1192,8794;;;;;;;;;;;;;;
6; 10000_54_28;1216,5681;;;;;;;;;;;;;;
7; 10000_54_28;1230,6151;;;;;;;;;;;;;;
8; 10000_54_28;1243,1176;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_28;1183,0471;;1183,0471;1243,1176;1206,70962;18,57286194;;;;;;;;;
