0; 1567.9596; 1865.5778; 2229.4412; 1572.9691
1; 1511.5743; 1814.0704; 2281.5032; 1567.9596
2; 1515.1108; 1858.0898; 2253.2139; 1511.5743
3; 1469.0779; 1806.2771; 2205.7356; 1511.5743
4; 1408.6144; 1772.1643; 2148.9033; 1469.0779
5; 1328.1158; 1628.9772; 2007.7556; 1408.6144
6; 1327.6471; 1744.8801; 2251.8962; 1328.1158
7; 1310.1403; 1622.3188; 2176.2932; 1327.6471
8; 1314.405; 1660.5829; 2112.3208; 1310.1403
9; 1222.6312; 1611.0779; 2014.0791; 1310.1403
10; 1222.6312; 1678.6404; 2135.103; 1222.6312
11; 1222.6312; 1644.2637; 2185.8936; 1222.6312
12; 1192.6678; 1487.7911; 1937.4398; 1222.6312
13; 1192.6678; 1897.8904; 2371.3718; 1192.6678
14; 1203.4966; 1686.5182; 2154.9072; 1192.6678
15; 1174.702; 1500.2643; 2039.812; 1192.6678
16; 1173.025; 1464.0625; 1897.9554; 1174.702
17; 1144.2305; 1518.087; 2157.1147; 1173.025
18; 1144.2305; 1577.3549; 2023.2778; 1144.2305
19; 1144.2305; 1458.748; 1833.7194; 1144.2305
20; 1091.0145; 1304.4122; 1942.8774; 1144.2305
21; 1090.5706; 1505.7482; 1969.0232; 1091.0145
22; 1090.5706; 1518.9323; 2077.5354; 1090.5706
23; 1077.9336; 1473.6976; 2021.0903; 1090.5706
24; 1077.4896; 1457.8046; 2150.9985; 1077.9336
25; 1077.4896; 1499.0289; 2145.4495; 1077.4896
26; 1067.1678; 1428.5723; 1935.0781; 1077.4896
27; 1067.1678; 1419.089; 1930.2854; 1067.1678
28; 1062.8942; 1366.6157; 1777.0636; 1067.1678
29; 1059.3119; 1322.0442; 1787.0105; 1062.8942
30; 1062.8942; 1526.2247; 1951.0479; 1059.3119
31; 1035.1036; 1381.855; 1951.7676; 1059.3119
32; 1033.4873; 1429.1711; 2224.166; 1035.1036
33; 1029.5563; 1351.5626; 1946.68; 1033.4873
34; 1029.5563; 1400.1035; 1874.4377; 1029.5563
35; 1008.5444; 1441.9991; 2115.9915; 1029.5563
36; 1008.5444; 1538.5809; 2146.6255; 1008.5444
37; 1008.5444; 1502.2893; 1995.012; 1008.5444
38; 1008.5444; 1475.8867; 2069.859; 1008.5444
39; 1008.5444; 1500.1699; 2065.3088; 1008.5444
40; 1001.6573; 1345.8846; 1850.7378; 1008.5444
41; 1001.6573; 1379.8462; 2062.886; 1001.6573
42; 1001.6573; 1409.5122; 1969.2385; 1001.6573
43; 995.01355; 1178.6613; 1688.2124; 1001.6573
44; 995.01355; 1412.0848; 2061.7415; 995.01355
45; 992.9375; 1314.5457; 1875.3809; 995.01355
46; 992.9375; 1260.7014; 1771.6398; 992.9375
47; 992.9375; 1171.1606; 1768.36; 992.9375
48; 985.0815; 1103.608; 1630.2031; 992.9375
49; 985.0815; 1531.8417; 2204.2185; 985.0815
50; 985.0815; 1374.7993; 1838.5254; 985.0815
51; 985.0815; 1197.4849; 1817.5134; 985.0815
52; 985.0814; 1125.4204; 1559.0139; 985.0815
53; 985.0814; 1266.0695; 1956.0243; 985.0814
54; 985.0814; 1207.9014; 1829.9178; 985.0814
