7; 100000_5_1000.0_1.0_0.9998701;806,5237;;;;;;;;;
8; 100000_5_1000.0_1.0_0.9998701;801,8739;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.9998701;801,8739;;797,87177;832,72327;812,821629;;;;;
0; 100000_5_1000.0_1.0_0.99988014;797,45123;;;;;;;;;
1; 100000_5_1000.0_1.0_0.99988014;828,70013;;;;;;;;;
2; 100000_5_1000.0_1.0_0.99988014;801,8739;;;;;;;;;
3; 100000_5_1000.0_1.0_0.99988014;797,45123;;;;;;;;;
4; 100000_5_1000.0_1.0_0.99988014;830,9456;;;;;;;;;
5; 100000_5_1000.0_1.0_0.99988014;802,1264;;;;;;;;;
6; 100000_5_1000.0_1.0_0.99988014;829,4113;;;;;;;;;
7; 100000_5_1000.0_1.0_0.99988014;810,2075;;;;;;;;;
8; 100000_5_1000.0_1.0_0.99988014;801,8739;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.99988014;803,31104;;797,45123;830,9456;810,335223;;;;;
0; 100000_5_1000.0_1.0_0.99989015;830,9456;;;;;;;;;
1; 100000_5_1000.0_1.0_0.99989015;797,45123;;;;;;;;;
2; 100000_5_1000.0_1.0_0.99989015;801,8739;;;;;;;;;
3; 100000_5_1000.0_1.0_0.99989015;803,311;;;;;;;;;
4; 100000_5_1000.0_1.0_0.99989015;810,5735;;;;;;;;;
5; 100000_5_1000.0_1.0_0.99989015;803,311;;;;;;;;;
6; 100000_5_1000.0_1.0_0.99989015;829,4113;;;;;;;;;
7; 100000_5_1000.0_1.0_0.99989015;810,69403;;;;;;;;;
8; 100000_5_1000.0_1.0_0.99989015;797,45123;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.99989015;810,3856;;797,45123;830,9456;809,540839;;;;;
0; 100000_5_1000.0_1.0_0.99990016;809,9204;;;;;;;;;
1; 100000_5_1000.0_1.0_0.99990016;808,5181;;;;;;;;;
2; 100000_5_1000.0_1.0_0.99990016;802,0561;;;;;;;;;
3; 100000_5_1000.0_1.0_0.99990016;835,9031;;;;;;;;;
4; 100000_5_1000.0_1.0_0.99990016;801,8739;;;;;;;;;
5; 100000_5_1000.0_1.0_0.99990016;810,69403;;;;;;;;;
6; 100000_5_1000.0_1.0_0.99990016;825,5742;;;;;;;;;
7; 100000_5_1000.0_1.0_0.99990016;803,311;;;;;;;;;
8; 100000_5_1000.0_1.0_0.99990016;810,5735;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.99990016;801,8739;;801,8739;835,9031;811,029823;;;;;
0; 100000_5_1000.0_1.0_0.9999102;805,3971;;;;;;;;;
1; 100000_5_1000.0_1.0_0.9999102;801,99445;;;;;;;;;
