0; 100000_21_1000.0_1.0_0.99993;1182,606;;;;;
1; 100000_21_1000.0_1.0_0.99993;1178,2736;;;;;
2; 100000_21_1000.0_1.0_0.99993;1171,7842;;;;;
3; 100000_21_1000.0_1.0_0.99993;1192,5515;;;;;
4; 100000_21_1000.0_1.0_0.99993;1181,0944;;;;;
5; 100000_21_1000.0_1.0_0.99993;1181,3511;;;;;
6; 100000_21_1000.0_1.0_0.99993;1177,0183;;;;;
7; 100000_21_1000.0_1.0_0.99993;1174,6204;;;;;
8; 100000_21_1000.0_1.0_0.99993;1171,6821;;Best;Worst;Avg;Std
9; 100000_21_1000.0_1.0_0.99993;1183,0735;;1171,6821;1192,5515;1179,40551;5,922539215
