9; 100_500_0.7_0.1_5;852,4874;;842,1642;1034,8412;924,21713;;;;;
0; 100_550_0.7_0.1_5;838,5259;;;;;;;;;
1; 100_550_0.7_0.1_5;918,84375;;;;;;;;;
2; 100_550_0.7_0.1_5;917,64154;;;;;;;;;
3; 100_550_0.7_0.1_5;923,40326;;;;;;;;;
4; 100_550_0.7_0.1_5;834,08594;;;;;;;;;
5; 100_550_0.7_0.1_5;856,0621;;;;;;;;;
6; 100_550_0.7_0.1_5;1006,29504;;;;;;;;;
7; 100_550_0.7_0.1_5;938,1653;;;;;;;;;
8; 100_550_0.7_0.1_5;968,5768;;Best;Worst;Average;;;;;
9; 100_550_0.7_0.1_5;904,7135;;834,08594;1006,29504;910,631313;;;;;
0; 100_600_0.7_0.1_5;834,3788;;;;;;;;;
1; 100_600_0.7_0.1_5;840,1934;;;;;;;;;
2; 100_600_0.7_0.1_5;1052,0472;;;;;;;;;
3; 100_600_0.7_0.1_5;818,2541;;;;;;;;;
4; 100_600_0.7_0.1_5;907,42944;;;;;;;;;
5; 100_600_0.7_0.1_5;923,10547;;;;;;;;;
6; 100_600_0.7_0.1_5;991,1142;;;;;;;;;
7; 100_600_0.7_0.1_5;888,1066;;;;;;;;;
8; 100_600_0.7_0.1_5;1014,8094;;Best;Worst;Average;;;;;
9; 100_600_0.7_0.1_5;925,92566;;818,2541;1052,0472;919,536427;;;;;
0; 100_650_0.7_0.1_5;898,62213;;;;;;;;;
1; 100_650_0.7_0.1_5;956,2265;;;;;;;;;
2; 100_650_0.7_0.1_5;1013,2516;;;;;;;;;
3; 100_650_0.7_0.1_5;971,8234;;;;;;;;;
4; 100_650_0.7_0.1_5;924,3518;;;;;;;;;
5; 100_650_0.7_0.1_5;961,0175;;;;;;;;;
6; 100_650_0.7_0.1_5;958,98676;;;;;;;;;
7; 100_650_0.7_0.1_5;838,6063;;;;;;;;;
8; 100_650_0.7_0.1_5;1045,4965;;Best;Worst;Average;;;;;
9; 100_650_0.7_0.1_5;966,91583;;838,6063;1045,4965;953,529832;;;;;
0; 100_700_0.7_0.1_5;894,21356;;;;;;;;;
1; 100_700_0.7_0.1_5;936,9286;;;;;;;;;
2; 100_700_0.7_0.1_5;901,60034;;;;;;;;;
3; 100_700_0.7_0.1_5;803,39355;;;;;;;;;
4; 100_700_0.7_0.1_5;872,7506;;;;;;;;;
5; 100_700_0.7_0.1_5;877,67755;;;;;;;;;
6; 100_700_0.7_0.1_5;950,7232;;;;;;;;;
7; 100_700_0.7_0.1_5;911,32904;;;;;;;;;
8; 100_700_0.7_0.1_5;930,82153;;Best;Worst;Average;;;;;
9; 100_700_0.7_0.1_5;1115,2255;;803,39355;1115,2255;919,466347;;;;;
0; 100_750_0.7_0.1_5;872,87836;;;;;;;;;
1; 100_750_0.7_0.1_5;901,9818;;;;;;;;;
2; 100_750_0.7_0.1_5;914,69824;;;;;;;;;
3; 100_750_0.7_0.1_5;981,82794;;;;;;;;;
4; 100_750_0.7_0.1_5;887,7976;;;;;;;;;
5; 100_750_0.7_0.1_5;982,76733;;;;;;;;;
6; 100_750_0.7_0.1_5;844,86536;;;;;;;;;
7; 100_750_0.7_0.1_5;882,01807;;;;;;;;;
8; 100_750_0.7_0.1_5;824,737;;Best;Worst;Average;;;;;
9; 100_750_0.7_0.1_5;976,0898;;824,737;982,76733;906,96615;;;;;
0; 100_800_0.7_0.1_5;846,8109;;;;;;;;;
1; 100_800_0.7_0.1_5;894,2817;;;;;;;;;
2; 100_800_0.7_0.1_5;846,7168;;;;;;;;;
3; 100_800_0.7_0.1_5;936,93475;;;;;;;;;
4; 100_800_0.7_0.1_5;975,3597;;;;;;;;;
5; 100_800_0.7_0.1_5;872,79004;;;;;;;;;
6; 100_800_0.7_0.1_5;961,3159;;;;;;;;;
7; 100_800_0.7_0.1_5;916,8065;;;;;;;;;
8; 100_800_0.7_0.1_5;850,0419;;Best;Worst;Average;;;;;
9; 100_800_0.7_0.1_5;850,9774;;846,7168;975,3597;895,203559;;;;;
0; 100_850_0.7_0.1_5;869,1505;;;;;;;;;
1; 100_850_0.7_0.1_5;870,09564;;;;;;;;;
2; 100_850_0.7_0.1_5;810,5735;;;;;;;;;
3; 100_850_0.7_0.1_5;859,4035;;;;;;;;;
4; 100_850_0.7_0.1_5;846,68146;;;;;;;;;
5; 100_850_0.7_0.1_5;867,7298;;;;;;;;;
6; 100_850_0.7_0.1_5;912,1326;;;;;;;;;
7; 100_850_0.7_0.1_5;882,2488;;;;;;;;;
8; 100_850_0.7_0.1_5;801,81885;;Best;Worst;Average;;;;;
9; 100_850_0.7_0.1_5;952,50757;;801,81885;952,50757;867,234222;;;;;
0; 100_900_0.7_0.1_5;945,3697;;;;;;;;;
1; 100_900_0.7_0.1_5;894,6408;;;;;;;;;
2; 100_900_0.7_0.1_5;886,76636;;;;;;;;;
3; 100_900_0.7_0.1_5;831,33984;;;;;;;;;
4; 100_900_0.7_0.1_5;927,7849;;;;;;;;;
5; 100_900_0.7_0.1_5;856,2829;;;;;;;;;
6; 100_900_0.7_0.1_5;883,0841;;;;;;;;;
7; 100_900_0.7_0.1_5;823,6201;;;;;;;;;
8; 100_900_0.7_0.1_5;883,2974;;Best;Worst;Average;;;;;
9; 100_900_0.7_0.1_5;864,6632;;823,6201;945,3697;879,68493;;;;;
0; 100_950_0.7_0.1_5;862,82385;;;;;;;;;
1; 100_950_0.7_0.1_5;991,89966;;;;;;;;;
2; 100_950_0.7_0.1_5;897,1957;;;;;;;;;
3; 100_950_0.7_0.1_5;872,45074;;;;;;;;;
4; 100_950_0.7_0.1_5;945,22107;;;;;;;;;
5; 100_950_0.7_0.1_5;874,6458;;;;;;;;;
6; 100_950_0.7_0.1_5;973,31836;;;;;;;;;
7; 100_950_0.7_0.1_5;946,78925;;;;;;;;;
8; 100_950_0.7_0.1_5;909,1065;;Best;Worst;Average;;;;;
9; 100_950_0.7_0.1_5;1102,7479;;862,82385;1102,7479;937,619883;;;;;
0; 100_1000_0.7_0.1_5;977,4204;;;;;;;;;
1; 100_1000_0.7_0.1_5;963,2439;;;;;;;;;
2; 100_1000_0.7_0.1_5;961,937;;;;;;862,82385;1102,7479;937,619883;
3; 100_1000_0.7_0.1_5;958,32715;;;;;;812,7828;981,95306;926,322069;
4; 100_1000_0.7_0.1_5;891,12335;;;;;;;;;
5; 100_1000_0.7_0.1_5;812,7828;;;;;;;;;
6; 100_1000_0.7_0.1_5;847,7632;;;;;;;;;
7; 100_1000_0.7_0.1_5;978,28253;;;;;;;;;
8; 100_1000_0.7_0.1_5;981,95306;;Best;Worst;Average;;;;;
9; 100_1000_0.7_0.1_5;890,3873;;812,7828;981,95306;926,322069;;;;;
