1006,1924;;;;;
1064,0558;;;;;
1032,7828;;;;;
1223,1415;;;;;
1298,2343;;;;;
1114,7103;;;;;
1156,7714;;Best;Worst;Average;Std
1052,6708;;924,0902;1307,5259;1110,189402;100,1107292
1238,9418;;;;;
1222,6414;;;;;
1243,258;;;;;
1079,9406;;;;;
1239,2977;;;;;
1061,9805;;;;;
1014,62524;;;;;
1307,5259;;;;;
1105,7164;;;;;
1238,7417;;;;;
1040,7649;;;;;
1016,7732;;;;;
1022,12274;;;;;
1028,1649;;;;;
1012,7858;;;;;
1060,1552;;;;;
1013,9081;;;;;
1257,5586;;;;;
924,0902;;;;;
1233,0764;;;;;
1117,258;;;;;
1190,5602;;;;;
1002,7029;;;;;
1032,6881;;;;;
1075,2872;;;;;
1231,6998;;;;;
1093,2412;;;;;
1043,9797;;;;;
1081,688;;;;;
1007,4636;;;;;
