1; 450_950_0.7_0.1_157;1324,5366;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_157;1288,4514;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_157;1184,6779;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_157;1230,725;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_157;1190,4989;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_157;1356,6355;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_157;1168,5643;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_157;1163,163;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_157;1137,6873;;1137,6873;1356,6355;1230,67702;70,5528092;;;;;;;;;
0; 450_950_0.7_0.1_180;1157,7572;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_180;1183,4025;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_180;1256,707;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_180;1326,6971;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_180;1376,3224;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_180;1292,2572;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_180;1365,8203;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_180;1146,9888;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_180;1253,6064;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_180;1183,3994;;1146,9888;1376,3224;1254,29583;80,56312032;;;;;;;;;
0; 450_950_0.7_0.1_202;1254,8529;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_202;1200,1139;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_202;1171,6616;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_202;1219,5042;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_202;1202,2537;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_202;1302,2338;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_202;1238,793;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_202;1202,1992;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_202;1153,2449;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_202;1279,9932;;1153,2449;1302,2338;1222,48504;44,37124732;;;;;;;;;
0; 450_950_0.7_0.1_225;1212,9747;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_225;1256,1343;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_225;1219,5107;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_225;1253,0424;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_225;1312,021;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_225;1159,4985;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_225;1269,3156;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_225;1376,0597;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_225;1281,3558;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_225;1215,1598;;1159,4985;1376,0597;1255,50725;57,04590266;;;;;;;;;
0; 450_950_0.7_0.1_247;1330,3103;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_247;1257,0642;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_247;1199,0564;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_247;1206,6154;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_247;1335,8605;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_247;1206,1821;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_247;1199,0498;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_247;1258,168;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_247;1223,6433;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_247;1220,6947;;1199,0498;1335,8605;1243,66447;49,07533074;;;;;;;;;
0; 450_950_0.7_0.1_270;1254,0632;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_270;1322,0358;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_270;1294,6012;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_270;1205,6843;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_270;1209,3215;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_270;1213,4504;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_270;1251,3699;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_270;1364,5217;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_270;1246,4142;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_270;1223,5897;;1205,6843;1364,5217;1258,50519;50,25286434;;;;;;;;;
0; 450_950_0.7_0.1_292;1308,4917;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_292;1253,0951;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_292;1127,2502;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_292;1271,4663;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_292;1164,793;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_292;1303,8765;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_292;1224,5591;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_292;1272,996;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_292;1144,5433;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_292;1284,1404;;1127,2502;1308,4917;1235,52116;63,63053824;;;;;;;;;
0; 450_950_0.7_0.1_315;1332,3422;;;;;;;;;;;;;;
