7; 500_100_0.7_0.1_5;1017,36255;;;;;;;;;;
8; 500_100_0.7_0.1_5;916,40686;;Best;Worst;Average;;;;;;
9; 500_100_0.7_0.1_5;851,1632;;820,2431;1017,36255;873,589725;;;;;;
0; 550_100_0.7_0.1_5;908,3233;;;;;;;;;;
1; 550_100_0.7_0.1_5;846,5702;;;;;;;;;;
2; 550_100_0.7_0.1_5;917,20703;;;;;;;;;;
3; 550_100_0.7_0.1_5;896,886;;;;;;;;;;
4; 550_100_0.7_0.1_5;853,2051;;;;;;;;;;
5; 550_100_0.7_0.1_5;897,23376;;;;;;;;;;
6; 550_100_0.7_0.1_5;906,4656;;;;;;;;;;
7; 550_100_0.7_0.1_5;933,593;;;;;;;;;;
8; 550_100_0.7_0.1_5;981,60944;;Best;Worst;Average;;;;;;
9; 550_100_0.7_0.1_5;1433,7601;;846,5702;1433,7601;957,485353;;;;;;
0; 600_100_0.7_0.1_5;871,75073;;;;;;;;;;
1; 600_100_0.7_0.1_5;1562,8082;;;;;;;;;;
2; 600_100_0.7_0.1_5;874,41376;;;;;;;;;;
3; 600_100_0.7_0.1_5;836,811;;;;;;;;;;
4; 600_100_0.7_0.1_5;981,98474;;;;;;;;;;
5; 600_100_0.7_0.1_5;844,83026;;;;;;;;;;
6; 600_100_0.7_0.1_5;886,88617;;;;;;;;;;
7; 600_100_0.7_0.1_5;891,44745;;;;;;;;;;
8; 600_100_0.7_0.1_5;873,7998;;Best;Worst;Average;;;;;;
9; 600_100_0.7_0.1_5;910,88855;;836,811;1562,8082;953,562066;;;;;;
0; 650_100_0.7_0.1_5;903,3459;;;;;;;;;;
1; 650_100_0.7_0.1_5;841,01654;;;;;;;;;;
2; 650_100_0.7_0.1_5;839,22205;;;;;;;;;;
3; 650_100_0.7_0.1_5;845,1861;;;;;;;;;;
4; 650_100_0.7_0.1_5;866,27136;;;;;;;;;;
5; 650_100_0.7_0.1_5;1454,2997;;;;;;;;;;
6; 650_100_0.7_0.1_5;907,7074;;;;;;;;;;
7; 650_100_0.7_0.1_5;858,00745;;;;;;;;;;
8; 650_100_0.7_0.1_5;969,4551;;Best;Worst;Average;;;;;;
9; 650_100_0.7_0.1_5;844,0178;;839,22205;1454,2997;932,85294;;;;;;
0; 700_100_0.7_0.1_5;838,7254;;;;;;;;;;
1; 700_100_0.7_0.1_5;972,8981;;;;;;;;;;
2; 700_100_0.7_0.1_5;1407,422;;;;;;;;;;
3; 700_100_0.7_0.1_5;1049,3221;;;;;;;;;;
4; 700_100_0.7_0.1_5;912,84717;;;;;;;;;;
5; 700_100_0.7_0.1_5;884,2429;;;;;;;;;;
6; 700_100_0.7_0.1_5;860,73035;;;;;;;;;;
