;Current best;Global best
260;873,4722;839,9706
261;839,9706;839,9706
262;839,9706;839,9706
263;849,60266;839,9706
264;839,9706;839,9706
265;841,9293;839,9706
266;839,9706;839,9706
267;851,54645;839,9706
268;839,9706;839,9706
269;839,9706;839,9706
270;839,9706;839,9706
271;839,9706;839,9706
272;839,9706;839,9706
273;839,9706;839,9706
274;839,9706;839,9706
275;840,8087;839,9706
276;908,31464;839,9706
277;839,9706;839,9706
278;863,7065;839,9706
279;839,9706;839,9706
280;841,63165;839,9706
281;873,5047;839,9706
282;865,7393;839,9706
283;839,9706;839,9706
284;849,60266;839,9706
285;839,9706;839,9706
286;920,8439;839,9706
287;839,9706;839,9706
288;947,04095;839,9706
289;851,54645;839,9706
290;905,62134;839,9706
291;883,8123;839,9706
292;839,9706;839,9706
293;906,0435;839,9706
294;839,9706;839,9706
295;839,9706;839,9706
296;844,6759;839,9706
297;839,9706;839,9706
298;839,9706;839,9706
299;839,9706;839,9706
