0; 100_100_0.50000006_0.1_5;970,78754;;;;;;;;;;;
1; 100_100_0.50000006_0.1_5;1029,7429;;;;;;;;;;;
2; 100_100_0.50000006_0.1_5;1001,8276;;;;;;;;;;;
3; 100_100_0.50000006_0.1_5;1004,0325;;;;;;;;;;;
4; 100_100_0.50000006_0.1_5;1063,1113;;;;;;;;;;;
5; 100_100_0.50000006_0.1_5;966,78156;;;;;;;;;;;
6; 100_100_0.50000006_0.1_5;1060,6122;;;;;;;;;;;
7; 100_100_0.50000006_0.1_5;1017,05853;;;;;;;;;;;
8; 100_100_0.50000006_0.1_5;847,1441;;Best;Worst;Average;;;;;;;
9; 100_100_0.50000006_0.1_5;999,6136;;847,1441;1063,1113;996,071183;;;;;;;
0; 100_100_0.5500001_0.1_5;964,63153;;;;;;;;;;;
1; 100_100_0.5500001_0.1_5;1067,8531;;;;;;;;;;;
2; 100_100_0.5500001_0.1_5;908,43964;;;;;;;;;;;
3; 100_100_0.5500001_0.1_5;1055,6051;;;;;;;;;;;
4; 100_100_0.5500001_0.1_5;1088,1737;;;;;;;;;;;
5; 100_100_0.5500001_0.1_5;1053,2789;;;;;;;;;;;
6; 100_100_0.5500001_0.1_5;1056,5679;;;;;;;;;;;
7; 100_100_0.5500001_0.1_5;914,2668;;;;;;;;;;;
8; 100_100_0.5500001_0.1_5;1059,7144;;Best;Worst;Average;;;;;;;
9; 100_100_0.5500001_0.1_5;1038,5519;;908,43964;1088,1737;1020,708297;;;;;;;
0; 100_100_0.6000001_0.1_5;963,5618;;;;;;;;;;;
1; 100_100_0.6000001_0.1_5;1123,061;;;;;;;;;;;
2; 100_100_0.6000001_0.1_5;1028,6244;;;;;;;;;;;
3; 100_100_0.6000001_0.1_5;1042,2883;;;;;;;;;;;
4; 100_100_0.6000001_0.1_5;1068,3645;;;;;;;;;;;
5; 100_100_0.6000001_0.1_5;1041,472;;;;;;;;;;;
6; 100_100_0.6000001_0.1_5;981,6024;;;;;;;;;;;
7; 100_100_0.6000001_0.1_5;1091,4404;;;;;;;;;;;
8; 100_100_0.6000001_0.1_5;988,65265;;Best;Worst;Average;;;;;;;
9; 100_100_0.6000001_0.1_5;928,4306;;928,4306;1123,061;1025,749805;;;;;;;
0; 100_100_0.6500001_0.1_5;1108,3539;;;;;;;;;;;
1; 100_100_0.6500001_0.1_5;952,575;;;;;;;;;;;
2; 100_100_0.6500001_0.1_5;1035,464;;;;;;;;;;;
3; 100_100_0.6500001_0.1_5;1020,2625;;;;;;;;;;;
4; 100_100_0.6500001_0.1_5;931,9422;;;;;;;;;;;
5; 100_100_0.6500001_0.1_5;918,8455;;;;;;;;;;;
6; 100_100_0.6500001_0.1_5;996,97015;;;;;;;;;;;
7; 100_100_0.6500001_0.1_5;943,79144;;;;;;;;;;;
8; 100_100_0.6500001_0.1_5;987,4932;;Best;Worst;Average;;;;;;;
9; 100_100_0.6500001_0.1_5;934,0658;;918,8455;1108,3539;982,976369;;;;;;;
0; 100_100_0.7000001_0.1_5;968,92914;;;;;;;;;;;
1; 100_100_0.7000001_0.1_5;917,21643;;;;;;;;;;;
2; 100_100_0.7000001_0.1_5;1021,0062;;;;;;;;;;;
3; 100_100_0.7000001_0.1_5;1012,4546;;;;;;;;;;;
4; 100_100_0.7000001_0.1_5;966,38214;;;;;;;;;;;
5; 100_100_0.7000001_0.1_5;1007,7016;;;;;;;;;;;
6; 100_100_0.7000001_0.1_5;1020,87244;;;;;;;;;;;
7; 100_100_0.7000001_0.1_5;1063,4866;;;;;;;;;;;
8; 100_100_0.7000001_0.1_5;1086,3027;;Best;Worst;Average;;;;;;;
9; 100_100_0.7000001_0.1_5;927,94006;;917,21643;1086,3027;999,229191;;;;;;;
0; 100_100_0.7500001_0.1_5;963,43866;;;;;;;;;;;
1; 100_100_0.7500001_0.1_5;916,38495;;;;;;;;;;;
2; 100_100_0.7500001_0.1_5;974,70215;;;;;;;;;;;
3; 100_100_0.7500001_0.1_5;917,23676;;;;;;;;;;;
4; 100_100_0.7500001_0.1_5;1045,3206;;;;;;;;;;;
5; 100_100_0.7500001_0.1_5;1040,211;;;;;;;;;;;
6; 100_100_0.7500001_0.1_5;1049,5715;;;;;;;;;;;
7; 100_100_0.7500001_0.1_5;1057,8007;;;;;;;;;;;
8; 100_100_0.7500001_0.1_5;1031,447;;Best;Worst;Average;;;;;;;
9; 100_100_0.7500001_0.1_5;976,0324;;916,38495;1057,8007;997,214572;;;;;;;
0; 100_100_0.80000013_0.1_5;991,36255;;;;;;;;;;;
1; 100_100_0.80000013_0.1_5;1030,1058;;;;;;;;;;;
2; 100_100_0.80000013_0.1_5;903,93054;;;;;;;;;;;
3; 100_100_0.80000013_0.1_5;940,02563;;;;;;;;;;;
4; 100_100_0.80000013_0.1_5;980,89685;;;;;;;;;;;
5; 100_100_0.80000013_0.1_5;1007,2304;;;;;;;;;;;
6; 100_100_0.80000013_0.1_5;946,71436;;;;;;;;;;;
7; 100_100_0.80000013_0.1_5;924,6008;;;;;;;;;;;
8; 100_100_0.80000013_0.1_5;1070,846;;Best;Worst;Average;;;;;;;
9; 100_100_0.80000013_0.1_5;988,2327;;903,93054;1070,846;978,394563;;;;;;;
0; 100_100_0.85000014_0.1_5;989,746;;;;;;;;;;;
1; 100_100_0.85000014_0.1_5;1024,0555;;;;;;;;;;;
