9; 100_100_0.7_0.1_7;1084,2506;;925,5981;1199,8551;1029,626376;;;;961,69055;1100,3739;1009,954004
0; 100_100_0.7_0.1_8;994,85004;;;;;;;;971,4475;1173,0287;1054,75609
1; 100_100_0.7_0.1_8;940,55304;;;;;;;;919,5765;1122,0214;998,549311
2; 100_100_0.7_0.1_8;951,5821;;;;;;;;920,0816;1044,1665;992,719458
3; 100_100_0.7_0.1_8;961,0477;;;;;;;;918,9857;1119,3899;1024,20856
4; 100_100_0.7_0.1_8;1019,2848;;;;;;;;869,71893;1067,2869;982,995053
5; 100_100_0.7_0.1_8;1050,3846;;;;;;;;886,3703;1116,3636;1020,508537
6; 100_100_0.7_0.1_8;1012,80566;;;;;;;;873,54926;1096,0369;1024,210796
7; 100_100_0.7_0.1_8;1087,4935;;;;;;;;917,434;1089,9672;1017,646518
8; 100_100_0.7_0.1_8;1100,5903;;Best;Worst;Average;;;;900,76086;1106,3472;991,114686
9; 100_100_0.7_0.1_8;1118,3989;;940,55304;1118,3989;1023,699064;;;;924,9352;1103,092;998,791051
0; 100_100_0.7_0.1_9;1053,2004;;;;;;;;973,752;1140,6804;1055,717214
1; 100_100_0.7_0.1_9;902,7016;;;;;;;;897,7934;1064,4058;1002,472943
2; 100_100_0.7_0.1_9;1024,4689;;;;;;;;882,8727;1082,5493;999,422396
3; 100_100_0.7_0.1_9;942,2047;;;;;;;;949,4788;1149,1763;1040,269711
4; 100_100_0.7_0.1_9;1007,15857;;;;;;;;879,8208;1075,3359;981,296581
5; 100_100_0.7_0.1_9;1056,572;;;;;;;;907,1595;1087,8495;1007,867513
6; 100_100_0.7_0.1_9;950,719;;;;;;;;928,66595;1132,554;1016,889662
7; 100_100_0.7_0.1_9;1000,0706;;;;;;;;964,8466;1119,7888;1040,900082
8; 100_100_0.7_0.1_9;989,7362;;Best;Worst;Average;;;;946,153;1125,3115;1047,346975
9; 100_100_0.7_0.1_9;935,9771;;902,7016;1056,572;986,280907;;;;939,4344;1117,842;1011,571463
0; 100_100_0.7_0.1_10;931,5845;;;;;;;;910,57605;1073,346;1020,555908
1; 100_100_0.7_0.1_10;955,19464;;;;;;;;958,07947;1065,4138;1006,946095
2; 100_100_0.7_0.1_10;1024,6791;;;;;;;;965,92804;1156,1113;1048,701758
3; 100_100_0.7_0.1_10;982,75586;;;;;;;;953,84607;1178,5883;1048,565057
4; 100_100_0.7_0.1_10;950,9607;;;;;;;;927,44366;1161,0874;1045,473959
5; 100_100_0.7_0.1_10;1045,7981;;;;;;;;947,50214;1105,8972;1040,996124
6; 100_100_0.7_0.1_10;1000,062;;;;;;;;936,77234;1122,7567;1024,403112
7; 100_100_0.7_0.1_10;1003,9396;;;;;;;;996,64795;1132,1276;1066,98434
8; 100_100_0.7_0.1_10;1030,2719;;Best;Worst;Average;;;;1005,5866;1149,5898;1062,294385
9; 100_100_0.7_0.1_10;996,2535;;931,5845;1045,7981;992,14999;;;;939,6002;1133,2263;1020,172329
0; 100_100_0.7_0.1_11;1023,8905;;;;;;;;951,7336;1096,0016;1033,959263
1; 100_100_0.7_0.1_11;1021,74915;;;;;;;;967,95233;1116,5474;1021,552836
2; 100_100_0.7_0.1_11;1261,9521;;;;;;;;928,01654;1256,5231;1056,713594
3; 100_100_0.7_0.1_11;1040,8904;;;;;;;;965,35925;1084,87;1056,545505
4; 100_100_0.7_0.1_11;1092,2037;;;;;;;;948,5759;1244,7386;1095,582616
5; 100_100_0.7_0.1_11;1082,7441;;;;;;;;998,6861;1137,2332;1059,62873
6; 100_100_0.7_0.1_11;1030,0007;;;;;;;;957,09326;1197,66;1043,00704
7; 100_100_0.7_0.1_11;1016,188;;;;;;;;947,1986;1243,1488;1086,975556
8; 100_100_0.7_0.1_11;1002,873;;Best;Worst;Average;;;;945,95996;1155,8197;1071,632796
9; 100_100_0.7_0.1_11;927,47784;;927,47784;1261,9521;1049,996949;;;;;;
0; 100_100_0.7_0.1_12;1057,3402;;;;;;;;;;
1; 100_100_0.7_0.1_12;921,854;;;;;;;;;;
2; 100_100_0.7_0.1_12;1043,1588;;;;;;;;;;
3; 100_100_0.7_0.1_12;959,50244;;;;;;;;;;
