0; 100000_17_1000.0_1.0_0.99993;835,02563;;;;;
1; 100000_17_1000.0_1.0_0.99993;829,4375;;;;;
2; 100000_17_1000.0_1.0_0.99993;828,9891;;;;;
3; 100000_17_1000.0_1.0_0.99993;829,4375;;;;;
4; 100000_17_1000.0_1.0_0.99993;829,99286;;;;;
5; 100000_17_1000.0_1.0_0.99993;829,8253;;;;;
6; 100000_17_1000.0_1.0_0.99993;829,4375;;;;;
7; 100000_17_1000.0_1.0_0.99993;830,52563;;;;;
8; 100000_17_1000.0_1.0_0.99993;830,21155;;Best;Worst;Avg;Std
9; 100000_17_1000.0_1.0_0.99993;828,9891;;828,9891;835,02563;830,187167;1,680812594
