;Global best - Swap;Global best - inversion
0;1011,2837;1050,5728
1;1008,1234;995,4672
2;1008,1234;995,4672
3;1008,1234;995,4672
4;1008,1234;995,4672
5;1007,8279;995,4672
6;1007,8279;995,4672
7;1007,8279;981,16174
8;1007,8279;981,16174
9;1007,8279;981,16174
10;1007,8279;981,16174
11;1007,8279;981,16174
12;1007,8279;981,16174
13;1007,8279;981,16174
14;1007,8279;981,16174
15;998,34265;981,16174
16;998,34265;979,6737
17;996,84875;979,6737
18;996,84875;968,5347
19;996,84875;968,5347
20;996,84875;968,5347
21;996,84875;968,5347
22;988,23236;968,5347
23;988,23236;968,5347
24;988,23236;964,2578
25;988,23236;964,2578
26;988,23236;964,2578
27;988,23236;963,72754
28;988,23236;959,9316
29;988,23236;956,3597
30;988,23236;956,3597
31;988,23236;956,3597
32;979,4219;956,3597
33;975,4331;954,9119
34;975,4331;954,9119
35;973,94507;954,9119
36;973,94507;954,9119
37;950,2091;954,9119
38;950,2091;954,9119
39;950,2091;954,9119
40;950,2091;954,9119
41;950,2091;954,9119
42;950,2091;954,9119
43;950,2091;954,9119
44;950,2091;954,9119
45;950,2091;954,9119
46;950,2091;954,9119
47;950,2091;954,9119
48;950,2091;954,9119
49;950,2091;954,9119
50;950,2091;954,9119
51;950,2091;954,9119
52;950,2091;954,9119
53;950,2091;954,9119
54;950,2091;954,9119
55;950,2091;954,9119
56;950,2091;954,9119
57;950,2091;954,9119
58;950,2091;954,9119
59;950,2091;954,9119
60;950,2091;954,9119
61;950,2091;954,9119
62;950,2091;954,9119
63;950,2091;954,9119
64;950,2091;954,9119
65;950,2091;953,07965
66;950,2091;953,07965
67;950,2091;953,07965
68;950,2091;953,07965
69;950,2091;953,07965
70;950,2091;953,07965
71;950,2091;953,07965
72;950,2091;953,07965
73;950,2091;953,07965
74;950,2091;953,07965
75;950,2091;953,07965
76;938,596;953,07965
77;938,596;953,07965
78;938,596;953,07965
79;938,596;953,07965
80;938,596;953,07965
81;938,596;953,07965
82;938,596;953,07965
83;938,596;953,07965
84;938,596;953,07965
85;925,442;953,07965
86;925,442;953,07965
87;925,442;953,07965
88;925,442;953,07965
89;925,442;953,07965
90;925,442;952,07404
91;925,442;952,07404
92;925,442;952,07404
93;925,442;952,07404
94;925,442;952,07404
95;925,442;952,07404
96;925,442;952,07404
97;925,442;952,07404
98;925,442;952,07404
99;925,442;952,07404
100;925,442;952,07404
101;925,442;952,07404
102;925,442;952,07404
103;925,442;952,07404
104;925,442;952,07404
105;925,442;952,07404
106;925,442;952,07404
107;925,442;952,07404
108;925,442;952,07404
109;925,442;952,07404
110;925,442;952,07404
