3; 140000_5_1000.0_1.0;800,6078;;;;;;;;;
4; 140000_5_1000.0_1.0;803,1278;;;;;;;;;
5; 140000_5_1000.0_1.0;810,5735;;;;;;;;;
6; 140000_5_1000.0_1.0;801,99445;;;;;;;;;
7; 140000_5_1000.0_1.0;808,5181;;;;;;;;;
8; 140000_5_1000.0_1.0;801,8739;;Best;Worst;Average;;;;;
9; 140000_5_1000.0_1.0;805,2697;;800,6078;810,5735;804,482093;;;;;
0; 150000_5_1000.0_1.0;830,9456;;;;;;;;;
1; 150000_5_1000.0_1.0;829,4113;;;;;;;;;
2; 150000_5_1000.0_1.0;801,8739;;;;;;;;;
3; 150000_5_1000.0_1.0;803,311;;;;;;;;;
4; 150000_5_1000.0_1.0;828,70013;;;;;;;;;
5; 150000_5_1000.0_1.0;832,578;;;;;;;;;
6; 150000_5_1000.0_1.0;803,7866;;;;;;;;;
7; 150000_5_1000.0_1.0;814,59985;;;;;;;;;
8; 150000_5_1000.0_1.0;829,4113;;Best;Worst;Average;;;;;
9; 150000_5_1000.0_1.0;803,311;;801,8739;832,578;817,792868;;;;;
