2369,2393;;;;;
1848,4401;;;;;
2138,484;;;;;
2105,6902;;;;;
1815,1897;;;;;
2086,0486;;;;;
2278,2651;;;;;
2023,6388;;;;;
1988,34;;;;;
2263,4678;;;;;
2088,6462;;;;;
2096,4094;;;;;
1908,97;;;;;
2219,508;;;;;
2200,145;;;;;
2017,8322;;;;;
1952,0127;;;;;
2218,9348;;;;;
1916,573;;;;;
2037,1084;;;;;
2170,0305;;;;;
2040,4791;;;;;
2192,441;;;;;
2098,4917;;;;;
1823,261;;;;;
2114,1716;;;;;
1995,5282;;;;;
1931,2039;;;;;
2409,1565;;;;;
1985,1658;;;;;
2110,2158;;;;;
2012,2703;;;;;
1981,0502;;;;;
2360,2966;;;;;
2206,5603;;;;;
2106,581;;;;;
2245,4065;;;;;
2116,4507;;;;;
1759,1294;;;;;
2088,3105;;;;;
2219,5825;;;;;
2124,4023;;;;;
2166,206;;;;;
2211,6226;;;;;
2113,2014;;;;;
2494,557;;;;;
2123,9436;;;;;
2236,27;;;;;
2268,8762;;;;;
1987,3115;;;;;
2169,1038;;;;;
1955,7542;;;;;
2063,0588;;;;;
2222,3909;;;;;
2199,7803;;;;;
2366,3108;;;;;
1992,2645;;;;;
2128,9255;;;;;
2160,1685;;;;;
1957,8154;;;;;
2228,227;;;;;
2201,7417;;;;;
2173,164;;;;;
2081,3352;;;;;
2078,7925;;;;;
2140,2864;;;;;
1623,9832;;;;;
2043,9818;;;;;
2236,3286;;;;;
2272,9792;;;;;
2483,3525;;;;;
2118,667;;;;;
2020,9083;;;;;
2351,792;;;;;
2176,7654;;;;;
1952,8562;;;;;
1965,5764;;;;;
2149,6316;;;;;
2267,2932;;;;;
2130,3345;;;;;
2082,561;;;;;
2035,7793;;;;;
2102,9766;;;;;
2053,2263;;;;;
2237,9023;;;;;
2134,6138;;;;;
1956,0323;;;;;
1885,1228;;;;;
2232,9998;;;;;
2086,4448;;;;;
2420,7085;;;;;
2019,1631;;;;;
1951,1606;;;;;
2132,1934;;;;;
2179,428;;;;;
2379,4412;;;;;
1859,8324;;;;;
2092,494;;;;;
2183,8638;;;;;
2038,6598;;;;;
1883,5182;;;;;
2326,894;;;;;
2270,566;;;;;
1882,2615;;;;;
2277,7664;;;;;
2045,4608;;;;;
2272,2373;;;;;
2295,1213;;;;;
2261,4724;;;;;
2058,0156;;;;;
2242,5234;;;;;
2027,5571;;;;;
2289,282;;;;;
2234,4504;;;;;
2275,3335;;;;;
2126,0693;;;;;
2158,6165;;;;;
2113,7095;;;;;
2221,933;;;;;
2307,126;;;;;
2203,5574;;;;;
2189,5928;;;;;
1911,3058;;;;;
2194,9153;;;;;
2437,939;;;;;
2170,1272;;;;;
2194,2466;;;;;
2157,5586;;;;;
2222,225;;;;;
2175,9177;;;;;
2033,5054;;;;;
2100,5876;;;;;
2035,0726;;;;;
2176,4434;;;;;
2143,3596;;;;;
2070,5552;;;;;
2245,6448;;;;;
2107,2253;;;;;
1948,9609;;;;;
2159,6907;;;;;
2150,299;;;;;
2144,8938;;;;;
1963,3579;;;;;
2224,0442;;;;;
2022,3655;;;;;
2051,3247;;;;;
1847,6602;;;;;
2382,1233;;;;;
2305,703;;;;;
2070,7058;;;;;
1854,625;;;;;
2084,933;;;;;
1986,4885;;;;;
2207,5747;;;;;
2326,6245;;;;;
2239,6003;;;;;
2142,9438;;;;;
2188,2087;;;;;
2258,5093;;;;;
2209,4922;;;;;
2177,4753;;;;;
2169,4229;;;;;
2350,056;;;;;
2221,0505;;;;;
1987,5914;;;;;
2330,5073;;;;;
2140,9448;;;;;
1851,9554;;;;;
2345,8196;;;;;
2229,8352;;;;;
2354,3767;;;;;
2219,4458;;;;;
2257,4763;;;;;
2188,5183;;;;;
2075,617;;;;;
2020,2307;;;;;
2187,711;;;;;
2175,9941;;;;;
2100,2566;;;;;
2137,241;;;;;
2286,6785;;;;;
2242,8577;;;;;
2112,2358;;;;;
2124,0898;;;;;
2134,0308;;;;;
2068,6575;;;;;
2136,4204;;;;;
2181,5254;;;;;
2186,76;;;;;
2160,7168;;;;;
2076,7812;;;;;
1968,4539;;;;;
2168,508;;;;;
2318,4287;;;;;
2243,7837;;;;;
2358,4368;;;;;
2107,9492;;;;;
2397,8037;;;;;
2098,7583;;;;;
1941,9202;;;;;
1722,1792;;;;;
1974,8547;;;;;
2280,4275;;;;;
2316,742;;;;;
2182,9004;;;;;
2172,6934;;;;;
2409,1343;;;;;
2405,537;;;;;
2183,113;;;;;
2238,8354;;;;;
2065,4434;;;;;
2148,8274;;;;;
2183,7087;;;;;
2350,5488;;;;;
2063,0098;;;;;
2202,9373;;;;;
2042,859;;;;;
2018,2601;;;;;
2100,2866;;;;;
1983,3912;;;;;
2211,7854;;;;;
2133,3604;;;;;
2112,6406;;;;;
1959,9551;;;;;
2166,9407;;;;;
2365,8176;;;;;
2064,5376;;;;;
2133,546;;;;;
2013,5857;;;;;
2083,1606;;;;;
2192,685;;;;;
2163,758;;;;;
2268,6863;;;;;
2247,217;;;;;
2288,295;;;;;
2014,1107;;;;;
