0; 10000_37_12;959,766;;;;;;;;;;;;;;
1; 10000_37_12;958,32477;;;;;;;;;;;;;;
2; 10000_37_12;968,796;;;;;;;;;;;;;;
3; 10000_37_12;986,8385;;;;;;;;;;;;;;
4; 10000_37_12;950,85223;;;;;;;;;;;;;;
5; 10000_37_12;969,7207;;;;;;;;;;;;;;
6; 10000_37_12;970,7075;;;;;;;;;;;;;;
7; 10000_37_12;957,0297;;;;;;;;;;;Best;Worst;Avg;Std
8; 10000_37_12;950,9515;;Best;Worst;Avg;Std;;; 10000_37_12;972,9354;;950,85223;986,8385;964,59223;10,6794052
9; 10000_37_12;972,9354;;950,85223;986,8385;964,59223;10,6794052;;; 10000_37_13;950,85223;;950,85223;983,2149;960,306431;10,30298912
0; 10000_37_13;958,2095;;;;;;;; 10000_37_14;969,47217;;950,85223;983,44806;961,365902;10,10889883
1; 10000_37_13;957,0297;;;;;;;; 10000_37_15;953,4635;;951,72015;967,81146;960,231961;6,006503744
2; 10000_37_13;976,6704;;;;;;;; 10000_37_16;977,3015;;952,01996;986,48724;964,721599;10,56256107
3; 10000_37_13;956,3972;;;;;;;; 10000_37_17;969,4722;;952,5463;981,15155;969,212761;7,953543006
4; 10000_37_13;957,0298;;;;;;;; 10000_37_18;951,72015;;950,9515;972,4823;958,110886;7,678551392
5; 10000_37_13;953,3573;;;;;;;; 10000_37_19;950,8522;;950,8522;971,7173;960,396401;8,103560729
6; 10000_37_13;959,45105;;;;;;;;;;;;;;
7; 10000_37_13;983,2149;;;;;;;;;;;;;;
8; 10000_37_13;950,85223;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_37_13;950,85223;;950,85223;983,2149;960,306431;10,30298912;;;;;;;;;
0; 10000_37_14;959,70044;;;;;;;;;;;;;;
1; 10000_37_14;983,44806;;;;;;;;;;;;;;
2; 10000_37_14;958,2436;;;;;;;;;;;;;;
3; 10000_37_14;950,8523;;;;;;;;;;;;;;
4; 10000_37_14;950,85223;;;;;;;;;;;;;;
5; 10000_37_14;956,8074;;;;;;;;;;;;;;
6; 10000_37_14;972,51196;;;;;;;;;;;;;;
7; 10000_37_14;959,7509;;;;;;;;;;;;;;
8; 10000_37_14;952,01996;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_37_14;969,47217;;950,85223;983,44806;961,365902;10,10889883;;;;;;;;;
0; 10000_37_15;951,72015;;;;;;;;;;;;;;
1; 10000_37_15;958,43335;;;;;;;;;;;;;;
2; 10000_37_15;966,9397;;;;;;;;;;;;;;
3; 10000_37_15;967,5495;;;;;;;;;;;;;;
4; 10000_37_15;951,84985;;;;;;;;;;;;;;
5; 10000_37_15;960,7091;;;;;;;;;;;;;;
6; 10000_37_15;967,81146;;;;;;;;;;;;;;
7; 10000_37_15;963,8053;;;;;;;;;;;;;;
8; 10000_37_15;960,0377;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_37_15;953,4635;;951,72015;967,81146;960,231961;6,006503744;;;;;;;;;
0; 10000_37_16;968,9234;;;;;;;;;;;;;;
1; 10000_37_16;986,48724;;;;;;;;;;;;;;
2; 10000_37_16;958,6616;;;;;;;;;;;;;;
3; 10000_37_16;959,5808;;;;;;;;;;;;;;
4; 10000_37_16;972,1371;;;;;;;;;;;;;;
5; 10000_37_16;959,06836;;;;;;;;;;;;;;
6; 10000_37_16;959,67993;;;;;;;;;;;;;;
7; 10000_37_16;953,3561;;;;;;;;;;;;;;
8; 10000_37_16;952,01996;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_37_16;977,3015;;952,01996;986,48724;964,721599;10,56256107;;;;;;;;;
0; 10000_37_17;981,15155;;;;;;;;;;;;;;
1; 10000_37_17;973,6875;;;;;;;;;;;;;;
2; 10000_37_17;968,5104;;;;;;;;;;;;;;
3; 10000_37_17;973,0875;;;;;;;;;;;;;;
4; 10000_37_17;959,45105;;;;;;;;;;;;;;
5; 10000_37_17;966,72455;;;;;;;;;;;;;;
6; 10000_37_17;969,62146;;;;;;;;;;;;;;
7; 10000_37_17;977,8751;;;;;;;;;;;;;;
8; 10000_37_17;952,5463;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_37_17;969,4722;;952,5463;981,15155;969,212761;7,953543006;;;;;;;;;
0; 10000_37_18;950,9515;;;;;;;;;;;;;;
1; 10000_37_18;957,8582;;;;;;;;;;;;;;
2; 10000_37_18;952,8405;;;;;;;;;;;;;;
3; 10000_37_18;959,7053;;;;;;;;;;;;;;
4; 10000_37_18;972,256;;;;;;;;;;;;;;
5; 10000_37_18;957,09937;;;;;;;;;;;;;;
6; 10000_37_18;955,244;;;;;;;;;;;;;;
7; 10000_37_18;972,4823;;;;;;;;;;;;;;
8; 10000_37_18;950,95154;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_37_18;951,72015;;950,9515;972,4823;958,110886;7,678551392;;;;;;;;;
0; 10000_37_19;964,5217;;;;;;;;;;;;;;
1; 10000_37_19;970,42865;;;;;;;;;;;;;;
2; 10000_37_19;957,0297;;;;;;;;;;;;;;
3; 10000_37_19;969,4722;;;;;;;;;;;;;;
4; 10000_37_19;950,85223;;;;;;;;;;;;;;
5; 10000_37_19;953,0504;;;;;;;;;;;;;;
6; 10000_37_19;952,11633;;;;;;;;;;;;;;
7; 10000_37_19;971,7173;;;;;;;;;;;;;;
8; 10000_37_19;963,9233;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_37_19;950,8522;;950,8522;971,7173;960,396401;8,103560729;;;;;;;;;
