1309,6805;;;;;
1378,3063;;;;;
1322,612;;;;;
1348,5146;;Best;Worst;Avg;Std
1370,4675;;1250,5726;1421,1458;1340,734728;42,24646831
1259,8195;;;;;
1301,283;;;;;
1302,6846;;;;;
1402,3602;;;;;
1413,7946;;;;;
1421,1458;;;;;
1418,3453;;;;;
1376,0337;;;;;
1258,6572;;;;;
1341,5938;;;;;
1348,1536;;;;;
1259,4681;;;;;
1293,8296;;;;;
1323,4719;;;;;
1339,8267;;;;;
1369,831;;;;;
1269,6664;;;;;
1339,7477;;;;;
1342,208;;;;;
1344,8835;;;;;
1344,5068;;;;;
1372,6033;;;;;
1382,4689;;;;;
1327,2327;;;;;
1369,9524;;;;;
1355,428;;;;;
1315,8716;;;;;
1392,6539;;;;;
1336,5007;;;;;
1250,5726;;;;;
1370,9302;;;;;
1344,4644;;;;;
1318,0886;;;;;
1340,9526;;;;;
1315,1492;;;;;
1336,6401;;;;;
1417,3718;;;;;
1331,4927;;;;;
1295,49;;;;;
1355,6904;;;;;
1332,7666;;;;;
1351,3196;;;;;
