8; 100_100_0.7_0.0060000005_5; 1035.6798
9; 100_100_0.7_0.0060000005_5; 1106.264
0; 100_100_0.7_0.0065000006_5; 1174.9395
1; 100_100_0.7_0.0065000006_5; 1022.9144
2; 100_100_0.7_0.0065000006_5; 1076.3016
3; 100_100_0.7_0.0065000006_5; 1067.0458
4; 100_100_0.7_0.0065000006_5; 1034.8278
5; 100_100_0.7_0.0065000006_5; 958.7517
6; 100_100_0.7_0.0065000006_5; 1003.4341
7; 100_100_0.7_0.0065000006_5; 1066.0143
8; 100_100_0.7_0.0065000006_5; 1007.3085
9; 100_100_0.7_0.0065000006_5; 995.7687
0; 100_100_0.7_0.0070000007_5; 948.3066
1; 100_100_0.7_0.0070000007_5; 1001.3364
2; 100_100_0.7_0.0070000007_5; 1231.1757
3; 100_100_0.7_0.0070000007_5; 954.3627
4; 100_100_0.7_0.0070000007_5; 1039.8204
5; 100_100_0.7_0.0070000007_5; 1029.7438
6; 100_100_0.7_0.0070000007_5; 1032.8484
7; 100_100_0.7_0.0070000007_5; 1017.04816
8; 100_100_0.7_0.0070000007_5; 1082.6047
9; 100_100_0.7_0.0070000007_5; 1011.58325
0; 100_100_0.7_0.0075000008_5; 1042.8568
1; 100_100_0.7_0.0075000008_5; 1046.596
2; 100_100_0.7_0.0075000008_5; 1030.9302
3; 100_100_0.7_0.0075000008_5; 1030.247
4; 100_100_0.7_0.0075000008_5; 1023.2063
5; 100_100_0.7_0.0075000008_5; 1063.6582
6; 100_100_0.7_0.0075000008_5; 964.5328
7; 100_100_0.7_0.0075000008_5; 912.73584
8; 100_100_0.7_0.0075000008_5; 1045.5264
9; 100_100_0.7_0.0075000008_5; 1067.8575
0; 100_100_0.7_0.008_5; 1007.3666
1; 100_100_0.7_0.008_5; 963.69025
2; 100_100_0.7_0.008_5; 1051.9595
3; 100_100_0.7_0.008_5; 1052.1855
4; 100_100_0.7_0.008_5; 980.1704
5; 100_100_0.7_0.008_5; 1007.6573
6; 100_100_0.7_0.008_5; 961.9218
7; 100_100_0.7_0.008_5; 1096.9247
8; 100_100_0.7_0.008_5; 1037.1451
9; 100_100_0.7_0.008_5; 1009.7584
0; 100_100_0.7_0.0085_5; 1050.068
1; 100_100_0.7_0.0085_5; 991.1916
2; 100_100_0.7_0.0085_5; 995.3198
3; 100_100_0.7_0.0085_5; 1033.8848
4; 100_100_0.7_0.0085_5; 985.7896
5; 100_100_0.7_0.0085_5; 1030.8312
6; 100_100_0.7_0.0085_5; 1147.1543
7; 100_100_0.7_0.0085_5; 1235.1896
8; 100_100_0.7_0.0085_5; 1021.32654
9; 100_100_0.7_0.0085_5; 1020.585
0; 100_100_0.7_0.009000001_5; 1100.8715
1; 100_100_0.7_0.009000001_5; 1070.579
2; 100_100_0.7_0.009000001_5; 1001.8078
3; 100_100_0.7_0.009000001_5; 1062.1149
4; 100_100_0.7_0.009000001_5; 991.1066
5; 100_100_0.7_0.009000001_5; 1082.5109
6; 100_100_0.7_0.009000001_5; 1097.2251
7; 100_100_0.7_0.009000001_5; 1063.6428
8; 100_100_0.7_0.009000001_5; 1033.0808
9; 100_100_0.7_0.009000001_5; 922.4265
0; 100_100_0.7_0.009500001_5; 991.92596
