;pop_size;gen;px;pm;tour;;;;;;;;;pop_size;gen;;;;;;;;Best;Worst;Average
9;200;900;0.7;0.1;40;;;911,38544;;854,6792;1024,5597;908,393593;;;;;;;;;;;;;
0;200;950;0.7;0.1;40;;;1043,1771;;;;;;;;;;;;;;;;;
1;200;950;0.7;0.1;40;;;851,2653;;;;;;;;;;;;;;;;;
2;200;950;0.7;0.1;40;;;866,69354;;;;;;;;;;;;;;;;;
3;200;950;0.7;0.1;40;;;844,58466;;;;;;;;;;;;;;;;;
4;200;950;0.7;0.1;40;;;825,97705;;;;;;;;;;;;;;;;;
5;200;950;0.7;0.1;40;;;832,1487;;;;;;;;;;;;;;;;;
6;200;950;0.7;0.1;40;;;861,5744;;;;;;;;;;;;;;;;;
7;200;950;0.7;0.1;40;;;869,6412;;;;;;;;;;;;;;;;;
8;200;950;0.7;0.1;40;;;1008,8911;;Best;Worst;Average;;;;;;;;;;;;;
9;200;950;0.7;0.1;40;;;1049,0465;;825,97705;1049,0465;905,299955;;;;;;;;;;;;;
0;200;1000;0.7;0.1;40;;;874,2476;;;;;;;;;;;;;;;;;
1;200;1000;0.7;0.1;40;;;940,36725;;;;;;;;;;;;;;;;;
2;200;1000;0.7;0.1;40;;;866,2173;;;;;;;;;;;;;;;;;
3;200;1000;0.7;0.1;40;;;909,252;;;;;;;;;;;;;;;;;
4;200;1000;0.7;0.1;40;;;835,4481;;;;;;;;;;;;;;;;;
5;200;1000;0.7;0.1;40;;;934,95703;;;;;;;;;;;;;;;;;
6;200;1000;0.7;0.1;40;;;880,2366;;;;;;;;;;;;;;;;;
7;200;1000;0.7;0.1;40;;;888,4638;;;;;;;;;;;;;;;;;
8;200;1000;0.7;0.1;40;;;870,3696;;Best;Worst;Average;;;;;;;;;;;;;
9;200;1000;0.7;0.1;40;;;987,5719;;835,4481;987,5719;898,713118;;;;;;;;;;;;;
0;250;100;0.7;0.1;50;;;983,977;;;;;;;;;;;;;;;;;
1;250;100;0.7;0.1;50;;;1009,351;;;;;;;;;;;;;;;;;
2;250;100;0.7;0.1;50;;;956,8327;;;;;;;;;;;;;;;;;
3;250;100;0.7;0.1;50;;;887,612;;;;;;;;;;;;;;;;;
4;250;100;0.7;0.1;50;;;811,7958;;;;;;;;;;;;;;;;;
5;250;100;0.7;0.1;50;;;909,50183;;;;;;;;;;;;;;;;;
6;250;100;0.7;0.1;50;;;942,26056;;;;;;;;;;;;;;;;;
7;250;100;0.7;0.1;50;;;876,31775;;;;;;;;;;;;;;;;;
8;250;100;0.7;0.1;50;;;838,413;;Best;Worst;Average;;;;;;;;;;;;;
9;250;100;0.7;0.1;50;;;956,1248;;811,7958;1009,351;917,218644;;;;;;;;;;;;;
0;250;150;0.7;0.1;50;;;855,7286;;;;;;;;;;;;;;;;;
1;250;150;0.7;0.1;50;;;885,5929;;;;;;;;;;;;;;;;;
2;250;150;0.7;0.1;50;;;924,00604;;;;;;;;;;;;;;;;;
3;250;150;0.7;0.1;50;;;855,1551;;;;;;;;;;;;;;;;;
4;250;150;0.7;0.1;50;;;921,6276;;;;;;;;;;;;;;;;;
5;250;150;0.7;0.1;50;;;949,55145;;;;;;;;;;;;;;;;;
6;250;150;0.7;0.1;50;;;925,0589;;;;;;;;;;;;;;;;;
7;250;150;0.7;0.1;50;;;886,04;;;;;;;;;;;;;;;;;
8;250;150;0.7;0.1;50;;;898,5319;;Best;Worst;Average;;;;;;;;;;;;;
9;250;150;0.7;0.1;50;;;867,12897;;855,1551;949,55145;896,842146;;;;;;;;;;;;;
0;250;200;0.7;0.1;50;;;807,1653;;;;;;;;;;;;;;;;;
1;250;200;0.7;0.1;50;;;949,6521;;;;;;;;;;;;;;;;;
2;250;200;0.7;0.1;50;;;846,4741;;;;;;;;;;;;;;;;;
3;250;200;0.7;0.1;50;;;849,67883;;;;;;;;;;;;;;;;;
4;250;200;0.7;0.1;50;;;819,4;;;;;;;;;;;;;;;;;
5;250;200;0.7;0.1;50;;;1038,2032;;;;;;;;;;;;;;;;;
6;250;200;0.7;0.1;50;;;904,8012;;;;;;;;;;;;;;;;;
7;250;200;0.7;0.1;50;;;876,93835;;;;;;;;;;;;;;;;;
8;250;200;0.7;0.1;50;;;1013,87085;;Best;Worst;Average;;;;;;;;;;;;;
9;250;200;0.7;0.1;50;;;985,1736;;807,1653;1038,2032;909,135753;;;;;;;;;;;;;
0;250;250;0.7;0.1;50;;;835,242;;;;;;;;;;;;;;;;;
1;250;250;0.7;0.1;50;;;946,38403;;;;;;;;;;;;;;;;;
2;250;250;0.7;0.1;50;;;900,57184;;;;;;;;;;;;;;;;;
3;250;250;0.7;0.1;50;;;844,4304;;;;;;;;;;;;;;;;;
4;250;250;0.7;0.1;50;;;914,32245;;;;;;;;;;;;;;;;;
5;250;250;0.7;0.1;50;;;1014,0318;;;;;;;;;;;;;;;;;
6;250;250;0.7;0.1;50;;;847,8234;;;;;;;;;;;;;;;;;
7;250;250;0.7;0.1;50;;;980,7794;;;;;;;;;;;;;;;;;
8;250;250;0.7;0.1;50;;;1057,7479;;Best;Worst;Average;;;;;;;;;;;;;
9;250;250;0.7;0.1;50;;;919,67053;;835,242;1057,7479;926,100375;;;;;;;;;;;;;
0;250;300;0.7;0.1;50;;;988,94476;;;;;;;;;;;;;;;;;
1;250;300;0.7;0.1;50;;;896,1725;;;;;;;;;;;;;;;;;
2;250;300;0.7;0.1;50;;;812,9033;;;;;;;;;;;;;;;;;
3;250;300;0.7;0.1;50;;;852,4342;;;;;;;;;;;;;;;;;
4;250;300;0.7;0.1;50;;;926,50586;;;;;;;;;;;;;;;;;
5;250;300;0.7;0.1;50;;;924,987;;;;;;;;;;;;;;;;;
6;250;300;0.7;0.1;50;;;936,27844;;;;;;;;;;;;;;;;;
7;250;300;0.7;0.1;50;;;879,20917;;;;;;;;;;;;;;;;;
8;250;300;0.7;0.1;50;;;860,2657;;Best;Worst;Average;;;;;;;;;;;;;
9;250;300;0.7;0.1;50;;;823,02704;;812,9033;988,94476;890,072797;;;;;;;;;;;;;
0;250;350;0.7;0.1;50;;;941,31964;;;;;;;;;;;;;;;;;
1;250;350;0.7;0.1;50;;;884,441;;;;;;;;;;;;;;;;;
2;250;350;0.7;0.1;50;;;962,35297;;;;;;;;;;;;;;;;;
3;250;350;0.7;0.1;50;;;858,9581;;;;;;;;;;;;;;;;;
4;250;350;0.7;0.1;50;;;979,22437;;;;;;;;;;;;;;;;;
5;250;350;0.7;0.1;50;;;924,5511;;;;;;;;;;;;;;;;;
6;250;350;0.7;0.1;50;;;907,9095;;;;;;;;;;;;;;;;;
7;250;350;0.7;0.1;50;;;962,6629;;;;;;;;;;;;;;;;;
8;250;350;0.7;0.1;50;;;924,31506;;Best;Worst;Average;;;;;;;;;;;;;
9;250;350;0.7;0.1;50;;;849,0702;;849,0702;979,22437;919,480484;;;;;;;;;;;;;
0;250;400;0.7;0.1;50;;;865,3724;;;;;;;;;;;;;;;;;
1;250;400;0.7;0.1;50;;;880,6756;;;;;;;;;;;;;;;;;
2;250;400;0.7;0.1;50;;;877,9348;;;;;;;;;;;;;;;;;
3;250;400;0.7;0.1;50;;;834,98395;;;;;;;;;;;;;;;;;
4;250;400;0.7;0.1;50;;;1018,762;;;;;;;;;;;;;;;;;
5;250;400;0.7;0.1;50;;;932,05615;;;;;;;;;;;;;;;;;
6;250;400;0.7;0.1;50;;;972,51025;;;;;;;;;;;;;;;;;
7;250;400;0.7;0.1;50;;;869,7011;;;;;;;;;;;;;;;;;
8;250;400;0.7;0.1;50;;;893,63654;;Best;Worst;Average;;;;;;;;;;;;;
9;250;400;0.7;0.1;50;;;921,84467;;834,98395;1018,762;906,747746;;;;;;;;;;;;;
0;250;450;0.7;0.1;50;;;937,9865;;;;;;;;;;;;;;;;;
1;250;450;0.7;0.1;50;;;1084,4077;;;;;;;;;;;;;;;;;
2;250;450;0.7;0.1;50;;;813,5123;;;;;;;;;;;;;;;;;
3;250;450;0.7;0.1;50;;;872,2125;;;;;;;;;;;;;;;;;
4;250;450;0.7;0.1;50;;;1011,79297;;;;;;;;;;;;;;;;;
5;250;450;0.7;0.1;50;;;912,29443;;;;;;;;;;;;;;;;;
6;250;450;0.7;0.1;50;;;902,65967;;;;;;;;;;;;;;;;;
7;250;450;0.7;0.1;50;;;884,2057;;;;;;;;;;;;;;;;;
8;250;450;0.7;0.1;50;;;881,4324;;Best;Worst;Average;;;;;;;;;;;;;
9;250;450;0.7;0.1;50;;;998,5319;;813,5123;1084,4077;929,903607;;;;;;;;;;;;;
0;250;500;0.7;0.1;50;;;968,6597;;;;;;;;;;;;;;;;;
1;250;500;0.7;0.1;50;;;911,2171;;;;;;;;;;;;;;;;;
2;250;500;0.7;0.1;50;;;899,4673;;;;;;;;;;;;;;;;;
3;250;500;0.7;0.1;50;;;882,7492;;;;;;;;;;;;;;;;;
4;250;500;0.7;0.1;50;;;936,0503;;;;;;;;;;;;;;;;;
5;250;500;0.7;0.1;50;;;952,2595;;;;;;;;;;;;;;;;;
6;250;500;0.7;0.1;50;;;836,3872;;;;;;;;;;;;;;;;;
7;250;500;0.7;0.1;50;;;937,7378;;;;;;;;;;;;;;;;;
8;250;500;0.7;0.1;50;;;981,39355;;Best;Worst;Average;;;;;;;;;;;;;
9;250;500;0.7;0.1;50;;;959,6703;;836,3872;981,39355;926,559195;;;;;;;;;;;;;
0;250;550;0.7;0.1;50;;;856,9023;;;;;;;;;;;;;;;;;
1;250;550;0.7;0.1;50;;;832,6746;;;;;;;;;;;;;;;;;
2;250;550;0.7;0.1;50;;;943,661;;;;;;;;;;;;;;;;;
3;250;550;0.7;0.1;50;;;862,1569;;;;;;;;;;;;;;;;;
4;250;550;0.7;0.1;50;;;897,81976;;;;;;;;;;;;;;;;;
5;250;550;0.7;0.1;50;;;850,44696;;;;;;;;;;;;;;;;;
6;250;550;0.7;0.1;50;;;840,67865;;;;;;;;;;;;;;;;;
7;250;550;0.7;0.1;50;;;994,5916;;;;;;;;;;;;;;;;;
8;250;550;0.7;0.1;50;;;992,4875;;Best;Worst;Average;;;;;;;;;;;;;
9;250;550;0.7;0.1;50;;;834,4783;;832,6746;994,5916;890,589757;;;;;;;;;;;;;
0;250;600;0.7;0.1;50;;;974,826;;;;;;;;;;;;;;;;;
1;250;600;0.7;0.1;50;;;873,75195;;;;;;;;;;;;;;;;;
2;250;600;0.7;0.1;50;;;865,672;;;;;;;;;;;;;;;;;
3;250;600;0.7;0.1;50;;;841,78143;;;;;;;;;;;;;;;;;
4;250;600;0.7;0.1;50;;;906,35754;;;;;;;;;;;;;;;;;
5;250;600;0.7;0.1;50;;;875,03186;;;;;;;;;;;;;;;;;
6;250;600;0.7;0.1;50;;;898,2655;;;;;;;;;;;;;;;;;
7;250;600;0.7;0.1;50;;;840,7332;;;;;;;;;;;;;;;;;
8;250;600;0.7;0.1;50;;;856,6338;;Best;Worst;Average;;;;;;;;;;;;;
9;250;600;0.7;0.1;50;;;958,6213;;840,7332;974,826;889,167458;;;;;;;;;;;;;
0;250;650;0.7;0.1;50;;;837,37;;;;;;;;;;;;;;;;;
1;250;650;0.7;0.1;50;;;854,453;;;;;;;;;;;;;;;;;
2;250;650;0.7;0.1;50;;;888,0777;;;;;;;;;;;;;;;;;
3;250;650;0.7;0.1;50;;;856,0621;;;;;;;;;;;;;;;;;
4;250;650;0.7;0.1;50;;;855,64777;;;;;;;;;;;;;;;;;
5;250;650;0.7;0.1;50;;;951,23706;;;;;;;;;;;;;;;;;
6;250;650;0.7;0.1;50;;;898,0124;;;;;;;;;;;;;;;;;
7;250;650;0.7;0.1;50;;;915,5713;;;;;;;;;;;;;;;;;
8;250;650;0.7;0.1;50;;;872,0648;;Best;Worst;Average;;;;;;;;;;;;;
9;250;650;0.7;0.1;50;;;920,47546;;837,37;951,23706;884,897159;;;;;;;;;;;;;
0;250;700;0.7;0.1;50;;;915,145;;;;;;;;;;;;;;;;;
1;250;700;0.7;0.1;50;;;906,066;;;;;;;;;;;;;;;;;
2;250;700;0.7;0.1;50;;;854,4699;;;;;;;;;;;;;;;;;
3;250;700;0.7;0.1;50;;;1041,5714;;;;;;;;;;;;;;;;;
4;250;700;0.7;0.1;50;;;900,14276;;;;;;;;;;;;;;;;;
5;250;700;0.7;0.1;50;;;840,7382;;;;;;;;;;;;;;;;;
6;250;700;0.7;0.1;50;;;919,4904;;;;;;;;;;;;;;;;;
7;250;700;0.7;0.1;50;;;874,073;;;;;;;;;;;;;;;;;
8;250;700;0.7;0.1;50;;;962,37146;;Best;Worst;Average;;;;;;;;;;;;;
9;250;700;0.7;0.1;50;;;980,4006;;840,7382;1041,5714;919,446872;;;;;;;;;;;;;
0;250;750;0.7;0.1;50;;;850,8109;;;;;;;;;;;;;;;;;
1;250;750;0.7;0.1;50;;;925,4841;;;;;;;;;;;;;;;;;
2;250;750;0.7;0.1;50;;;900,39984;;;;;;;;;;;;;;;;;
3;250;750;0.7;0.1;50;;;825,5929;;;;;;;;;;;;;;;;;
4;250;750;0.7;0.1;50;;;863,7284;;;;;;;;;;;;;;;;;
5;250;750;0.7;0.1;50;;;896,4694;;;;;;;;;;;;;;;;;
6;250;750;0.7;0.1;50;;;926,32324;;;;;;;;;;;;;;;;;
7;250;750;0.7;0.1;50;;;894,1602;;;;;;;;;;;;;;;;;
8;250;750;0.7;0.1;50;;;820,6963;;Best;Worst;Average;;;;;;;;;;;;;
9;250;750;0.7;0.1;50;;;833,56464;;820,6963;926,32324;873,722992;;;;;;;;;;;;;
0;250;800;0.7;0.1;50;;;869,97614;;;;;;;;;;;;;;;;;
1;250;800;0.7;0.1;50;;;966,25;;;;;;;;;;;;;;;;;
2;250;800;0.7;0.1;50;;;944,8235;;;;;;;;;;;;;;;;;
3;250;800;0.7;0.1;50;;;882,8873;;;;;;;;;;;;;;;;;
4;250;800;0.7;0.1;50;;;972,2952;;;;;;;;;;;;;;;;;
5;250;800;0.7;0.1;50;;;930,9381;;;;;;;;;;;;;;;;;
6;250;800;0.7;0.1;50;;;876,55255;;;;;;;;;;;;;;;;;
7;250;800;0.7;0.1;50;;;851,8107;;;;;;;;;;;;;;;;;
8;250;800;0.7;0.1;50;;;858,69196;;Best;Worst;Average;;;;;;;;;;;;;
9;250;800;0.7;0.1;50;;;904,5681;;851,8107;972,2952;905,879355;;;;;;;;;;;;;
0;250;850;0.7;0.1;50;;;846,81085;;;;;;;;;;;;;;;;;
1;250;850;0.7;0.1;50;;;817,08307;;;;;;;;;;;;;;;;;
2;250;850;0.7;0.1;50;;;931,9711;;;;;;;;;;;;;;;;;
3;250;850;0.7;0.1;50;;;840,4642;;;;;;;;;;;;;;;;;
4;250;850;0.7;0.1;50;;;977,9014;;;;;;;;;;;;;;;;;
5;250;850;0.7;0.1;50;;;895,482;;;;;;;;;;;;;;;;;
6;250;850;0.7;0.1;50;;;991,7504;;;;;;;;;;;;;;;;;
7;250;850;0.7;0.1;50;;;990,3881;;;;;;;;;;;;;;;;;
8;250;850;0.7;0.1;50;;;859,19904;;Best;Worst;Average;;;;;;;;;;;;;
9;250;850;0.7;0.1;50;;;866,5666;;817,08307;991,7504;901,761676;;;;;;;;;;;;;
0;250;900;0.7;0.1;50;;;1070,0378;;;;;;;;;;;;;;;;;
1;250;900;0.7;0.1;50;;;883,6165;;;;;;;;;;;;;;;;;
2;250;900;0.7;0.1;50;;;856,5094;;;;;;;;;;;;;;;;;
3;250;900;0.7;0.1;50;;;893,7295;;;;;;;;;;;;;;;;;
4;250;900;0.7;0.1;50;;;1017,6646;;;;;;;;;;;;;;;;;
5;250;900;0.7;0.1;50;;;845,69055;;;;;;;;;;;;;;;;;
6;250;900;0.7;0.1;50;;;994,7664;;;;;;;;;;;;;;;;;
7;250;900;0.7;0.1;50;;;945,3196;;;;;;;;;;;;;;;;;
8;250;900;0.7;0.1;50;;;881,0324;;Best;Worst;Average;;;;;;;;;;;;;
9;250;900;0.7;0.1;50;;;995,06915;;845,69055;1070,0378;938,34359;;;;;;;;;;;;;
0;250;950;0.7;0.1;50;;;837,2803;;;;;;;;;;;;;;;;;
1;250;950;0.7;0.1;50;;;841,42725;;;;;;;;;;;;;;;;;
2;250;950;0.7;0.1;50;;;851,5324;;;;;;;;;;;;;;;;;
3;250;950;0.7;0.1;50;;;881,43066;;;;;;;;;;;;;;;;;
4;250;950;0.7;0.1;50;;;893,69806;;;;;;;;;;;;;;;;;
5;250;950;0.7;0.1;50;;;881,8957;;;;;;;;;;;;;;;;;
6;250;950;0.7;0.1;50;;;850,25775;;;;;;;;;;;;;;;;;
7;250;950;0.7;0.1;50;;;877,1714;;;;;;;;;;;;;;;;;
8;250;950;0.7;0.1;50;;;837,43195;;Best;Worst;Average;;;;;;;;;;;;;
9;250;950;0.7;0.1;50;;;840,619;;837,2803;893,69806;859,274447;;;;;;;;;;;;;
0;250;1000;0.7;0.1;50;;;867,52277;;;;;;;;;;;;;;;;;
1;250;1000;0.7;0.1;50;;;837,2939;;;;;;;;;;;;;;;;;
2;250;1000;0.7;0.1;50;;;835,817;;;;;;;;;;;;;;;;;
3;250;1000;0.7;0.1;50;;;896,8399;;;;;;;;;;;;;;;;;
4;250;1000;0.7;0.1;50;;;919,4646;;;;;;;;;;;;;;;;;
5;250;1000;0.7;0.1;50;;;891,3126;;;;;;;;;;;;;;;;;
6;250;1000;0.7;0.1;50;;;897,739;;;;;;;;;;;;;;;;;
7;250;1000;0.7;0.1;50;;;953,299;;;;;;;;;;;;;;;;;
8;250;1000;0.7;0.1;50;;;891,01074;;Best;Worst;Average;;;;;;;;;;;;;
9;250;1000;0.7;0.1;50;;;953,21436;;835,817;953,299;894,351387;;;;;;;;;;;;;
0;300;100;0.7;0.1;60;;;906,7991;;;;;;;;;;;;;;;;;
1;300;100;0.7;0.1;60;;;964,8601;;;;;;;;;;;;;;;;;
2;300;100;0.7;0.1;60;;;854,453;;;;;;;;;;;;;;;;;
3;300;100;0.7;0.1;60;;;877,0512;;;;;;;;;;;;;;;;;
4;300;100;0.7;0.1;60;;;972,2126;;;;;;;;;;;;;;;;;
5;300;100;0.7;0.1;60;;;1069,5858;;;;;;;;;;;;;;;;;
6;300;100;0.7;0.1;60;;;832,7216;;;;;;;;;;;;;;;;;
7;300;100;0.7;0.1;60;;;931,60126;;;;;;;;;;;;;;;;;
8;300;100;0.7;0.1;60;;;976,12885;;Best;Worst;Average;;;;;;;;;;;;;
9;300;100;0.7;0.1;60;;;908,01654;;832,7216;1069,5858;929,343005;;;;;;;;;;;;;
0;300;150;0.7;0.1;60;;;900,5419;;;;;;;;;;;;;;;;;
1;300;150;0.7;0.1;60;;;890,31793;;;;;;;;;;;;;;;;;
2;300;150;0.7;0.1;60;;;874,6235;;;;;;;;;;;;;;;;;
3;300;150;0.7;0.1;60;;;1066,4946;;;;;;;;;;;;;;;;;
4;300;150;0.7;0.1;60;;;1043,1497;;;;;;;;;;;;;;;;;
5;300;150;0.7;0.1;60;;;974,9829;;;;;;;;;;;;;;;;;
6;300;150;0.7;0.1;60;;;835,90875;;;;;;;;;;;;;;;;;
7;300;150;0.7;0.1;60;;;939,0419;;;;;;;;;;;;;;;;;
8;300;150;0.7;0.1;60;;;994,9483;;Best;Worst;Average;;;;;;;;;;;;;
9;300;150;0.7;0.1;60;;;960,3173;;835,90875;1066,4946;948,032678;;;;;;;;;;;;;
0;300;200;0.7;0.1;60;;;1016,8968;;;;;;;;;;;;;;;;;
1;300;200;0.7;0.1;60;;;857,2651;;;;;;;;;;;;;;;;;
2;300;200;0.7;0.1;60;;;823,9383;;;;;;;;;;;;;;;;;
3;300;200;0.7;0.1;60;;;958,54596;;;;;;;;;;;;;;;;;
4;300;200;0.7;0.1;60;;;988,3862;;;;;;;;;;;;;;;;;
5;300;200;0.7;0.1;60;;;869,97614;;;;;;;;;;;;;;;;;
6;300;200;0.7;0.1;60;;;858,2612;;;;;;;;;;;;;;;;;
7;300;200;0.7;0.1;60;;;1025,5869;;;;;;;;;;;;;;;;;
8;300;200;0.7;0.1;60;;;873,49365;;Best;Worst;Average;;;;;;;;;;;;;
9;300;200;0.7;0.1;60;;;914,2657;;823,9383;1025,5869;918,661595;;;;;;;;;;;;;
0;300;250;0.7;0.1;60;;;854,01276;;;;;;;;;;;;;;;;;
1;300;250;0.7;0.1;60;;;804,6854;;;;;;;;;;;;;;;;;
2;300;250;0.7;0.1;60;;;985,07935;;;;;;;;;;;;;;;;;
3;300;250;0.7;0.1;60;;;922,0874;;;;;;;;;;;;;;;;;
4;300;250;0.7;0.1;60;;;965,6143;;;;;;;;;;;;;;;;;
5;300;250;0.7;0.1;60;;;942,84503;;;;;;;;;;;;;;;;;
6;300;250;0.7;0.1;60;;;837,3981;;;;;;;;;;;;;;;;;
7;300;250;0.7;0.1;60;;;891,06195;;;;;;;;;;;;;;;;;
8;300;250;0.7;0.1;60;;;1053,2812;;Best;Worst;Average;;;;;;;;;;;;;
9;300;250;0.7;0.1;60;;;858,9144;;804,6854;1053,2812;911,497989;;;;;;;;;;;;;
0;300;300;0.7;0.1;60;;;944,5987;;;;;;;;;;;;;;;;;
1;300;300;0.7;0.1;60;;;892,7025;;;;;;;;;;;;;;;;;
2;300;300;0.7;0.1;60;;;872,51746;;;;;;;;;;;;;;;;;
3;300;300;0.7;0.1;60;;;912,11096;;;;;;;;;;;;;;;;;
4;300;300;0.7;0.1;60;;;816,79755;;;;;;;;;;;;;;;;;
5;300;300;0.7;0.1;60;;;846,0873;;;;;;;;;;;;;;;;;
6;300;300;0.7;0.1;60;;;914,1522;;;;;;;;;;;;;;;;;
7;300;300;0.7;0.1;60;;;882,3356;;;;;;;;;;;;;;;;;
8;300;300;0.7;0.1;60;;;858,28815;;Best;Worst;Average;;;;;;;;;;;;;
9;300;300;0.7;0.1;60;;;990,2156;;816,79755;990,2156;892,980602;;;;;;;;;;;;;
0;300;350;0.7;0.1;60;;;858,3228;;;;;;;;;;;;;;;;;
1;300;350;0.7;0.1;60;;;931,26245;;;;;;;;;;;;;;;;;
2;300;350;0.7;0.1;60;;;976,6316;;;;;;;;;;;;;;;;;
3;300;350;0.7;0.1;60;;;967,99646;;;;;;;;;;;;;;;;;
4;300;350;0.7;0.1;60;;;840,36053;;;;;;;;;;;;;;;;;
5;300;350;0.7;0.1;60;;;844,9629;;;;;;;;;;;;;;;;;
6;300;350;0.7;0.1;60;;;860,6157;;;;;;;;;;;;;;;;;
7;300;350;0.7;0.1;60;;;844,4206;;;;;;;;;;;;;;;;;
8;300;350;0.7;0.1;60;;;947,89465;;Best;Worst;Average;;;;;;;;;;;;;
9;300;350;0.7;0.1;60;;;846,81824;;840,36053;976,6316;891,928593;;;;;;;;;;;;;
0;300;400;0.7;0.1;60;;;876,5349;;;;;;;;;;;;;;;;;
1;300;400;0.7;0.1;60;;;891,5186;;;;;;;;;;;;;;;;;
2;300;400;0.7;0.1;60;;;881,4649;;;;;;;;;;;;;;;;;
3;300;400;0.7;0.1;60;;;842,6368;;;;;;;;;;;;;;;;;
4;300;400;0.7;0.1;60;;;838,20074;;;;;;;;;;;;;;;;;
5;300;400;0.7;0.1;60;;;928,2781;;;;;;;;;;;;;;;;;
6;300;400;0.7;0.1;60;;;920,4858;;;;;;;;;;;;;;;;;
7;300;400;0.7;0.1;60;;;856,0621;;;;;;;;;;;;;;;;;
8;300;400;0.7;0.1;60;;;970,7772;;Best;Worst;Average;;;;;;;;;;;;;
9;300;400;0.7;0.1;60;;;836,90466;;836,90466;970,7772;884,28638;;;;;;;;;;;;;
0;300;450;0.7;0.1;60;;;911,09064;;;;;;;;;;;;;;;;;
1;300;450;0.7;0.1;60;;;913,99744;;;;;;;;;;;;;;;;;
2;300;450;0.7;0.1;60;;;873,1768;;;;;;;;;;;;;;;;;
3;300;450;0.7;0.1;60;;;876,77155;;;;;;;;;;;;;;;;;
4;300;450;0.7;0.1;60;;;812,9033;;;;;;;;;;;;;;;;;
5;300;450;0.7;0.1;60;;;906,7591;;;;;;;;;;;;;;;;;
6;300;450;0.7;0.1;60;;;888,9278;;;;;;;;;;;;;;;;;
7;300;450;0.7;0.1;60;;;908,309;;;;;;;;;;;;;;;;;
8;300;450;0.7;0.1;60;;;857,67285;;Best;Worst;Average;;;;;;;;;;;;;
9;300;450;0.7;0.1;60;;;902,4561;;812,9033;913,99744;885,206458;;;;;;;;;;;;;
0;300;500;0.7;0.1;60;;;921,97723;;;;;;;;;;;;;;;;;
1;300;500;0.7;0.1;60;;;842,9624;;;;;;;;;;;;;;;;;
2;300;500;0.7;0.1;60;;;904,965;;;;;;;;;;;;;;;;;
3;300;500;0.7;0.1;60;;;843,4618;;;;;;;;;;;;;;;;;
4;300;500;0.7;0.1;60;;;818,84467;;;;;;;;;;;;;;;;;
5;300;500;0.7;0.1;60;;;967,09827;;;;;;;;;;;;;;;;;
6;300;500;0.7;0.1;60;;;865,30273;;;;;;;;;;;;;;;;;
7;300;500;0.7;0.1;60;;;904,1116;;;;;;;;;;;;;;;;;
8;300;500;0.7;0.1;60;;;930,52277;;Best;Worst;Average;;;;;;;;;;;;;
9;300;500;0.7;0.1;60;;;897,9612;;818,84467;967,09827;889,720767;;;;;;;;;;;;;
0;300;550;0.7;0.1;60;;;891,79016;;;;;;;;;;;;;;;;;
1;300;550;0.7;0.1;60;;;905,43536;;;;;;;;;;;;;;;;;
2;300;550;0.7;0.1;60;;;874,1643;;;;;;;;;;;;;;;;;
3;300;550;0.7;0.1;60;;;871,59827;;;;;;;;;;;;;;;;;
4;300;550;0.7;0.1;60;;;871,5735;;;;;;;;;;;;;;;;;
5;300;550;0.7;0.1;60;;;826,43427;;;;;;;;;;;;;;;;;
6;300;550;0.7;0.1;60;;;834,0251;;;;;;;;;;;;;;;;;
7;300;550;0.7;0.1;60;;;919,5246;;;;;;;;;;;;;;;;;
8;300;550;0.7;0.1;60;;;818,95294;;Best;Worst;Average;;;;;;;;;;;;;
9;300;550;0.7;0.1;60;;;865,5742;;818,95294;919,5246;867,90727;;;;;;;;;;;;;
0;300;600;0.7;0.1;60;;;864,7557;;;;;;;;;;;;;;;;;
1;300;600;0.7;0.1;60;;;894,23627;;;;;;;;;;;;;;;;;
2;300;600;0.7;0.1;60;;;852,6672;;;;;;;;;;;;;;;;;
3;300;600;0.7;0.1;60;;;1095,3403;;;;;;;;;;;;;;;;;
4;300;600;0.7;0.1;60;;;842,519;;;;;;;;;;;;;;;;;
5;300;600;0.7;0.1;60;;;1010,2542;;;;;;;;;;;;;;;;;
6;300;600;0.7;0.1;60;;;840,7332;;;;;;;;;;;;;;;;;
7;300;600;0.7;0.1;60;;;830,7645;;;;;;;;;;;;;;;;;
8;300;600;0.7;0.1;60;;;898,21454;;Best;Worst;Average;;;;;;;;;;;;;
9;300;600;0.7;0.1;60;;;873,7909;;830,7645;1095,3403;900,327581;;;;;;;;;;;;;
0;300;650;0.7;0.1;60;;;858,2655;;;;;;;;;;;;;;;;;
1;300;650;0.7;0.1;60;;;996,1838;;;;;;;;;;;;;;;;;
2;300;650;0.7;0.1;60;;;897,13104;;;;;;;;;;;;;;;;;
3;300;650;0.7;0.1;60;;;969,4529;;;;;;;;;;;;;;;;;
4;300;650;0.7;0.1;60;;;915,89594;;;;;;;;;;;;;;;;;
5;300;650;0.7;0.1;60;;;951,3007;;;;;;;;;;;;;;;;;
6;300;650;0.7;0.1;60;;;881,8129;;;;;;;;;;;;;;;;;
7;300;650;0.7;0.1;60;;;853,2764;;;;;;;;;;;;;;;;;
8;300;650;0.7;0.1;60;;;954,966;;Best;Worst;Average;;;;;;;;;;;;;
9;300;650;0.7;0.1;60;;;864,38306;;853,2764;996,1838;914,266824;;;;;;;;;;;;;
0;300;700;0.7;0.1;60;;;946,34033;;;;;;;;;;;;;;;;;
